# # Once                                                         FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.329 Rnm= 1.367 K  shell
# # Pot 1 Z=28 Rmt= 1.346 Rnm= 1.388
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.810E+01eV kf=2.027E+00 Vint=-2.626E+01eV Rs_int= 1.789
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.4974
#           2       0.00000     23.33      6.00     2   3.5319
#           3       0.00000     13.44     48.00     3   3.7461
#           4       0.00000      9.61     48.00     3   4.2634
#           5       0.00000     57.08     24.00     2   4.3257
#           6       0.00000     12.35     48.00     3   4.6603
#           7       0.00000     25.78     96.00     3   4.6603
#           8       0.00000     19.67     12.00     2   4.9949
#           9       0.00000      9.86     12.00     3   4.9949
#          10       0.00000     45.82     24.00     3   4.9949
#          11       0.00000      8.86     12.00     4   4.9949
#          12       0.00000      4.39     12.00     4   4.9949
#          14       0.00000     37.20     12.00     4   4.9949
#    13/  15 paths used
#  xsedge+50, used to normalize mu           2.6834E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8627.178    266.970   8.650  8.55761E-01  9.51938E-01 -1.00950E-01
    8630.483    270.275   8.700  8.77705E-01  9.50862E-01 -7.68754E-02
    8633.807    273.599   8.750  8.97179E-01  9.49786E-01 -5.53439E-02
    8637.150    276.943   8.800  9.12467E-01  9.48709E-01 -3.81723E-02
    8640.513    280.305   8.850  9.23621E-01  9.47633E-01 -2.53197E-02
    8643.894    283.686   8.900  9.32125E-01  9.46556E-01 -1.52348E-02
    8647.294    287.087   8.950  9.40232E-01  9.45480E-01 -5.54674E-03
    8650.714    290.506   9.000  9.50159E-01  9.44404E-01  6.08968E-03
    8654.152    293.945   9.050  9.63502E-01  9.43382E-01  2.13126E-02
    8657.610    297.402   9.100  9.80343E-01  9.42360E-01  4.02784E-02
    8661.087    300.879   9.150  9.99328E-01  9.41339E-01  6.15616E-02
    8664.582    304.374   9.200  1.01791E+00  9.40317E-01  8.24583E-02
    8668.097    307.889   9.250  1.03290E+00  9.39295E-01  9.95893E-02
    8671.631    311.423   9.300  1.04126E+00  9.38273E-01  1.09688E-01
    8675.183    314.976   9.350  1.04078E+00  9.37252E-01  1.10386E-01
    8678.755    318.548   9.400  1.03066E+00  9.36230E-01  1.00799E-01
    8682.346    322.138   9.450  1.01175E+00  9.35208E-01  8.17933E-02
    8685.956    325.748   9.500  9.86398E-01  9.34187E-01  5.58551E-02
    8689.585    329.377   9.550  9.57868E-01  9.33242E-01  2.63721E-02
    8693.233    333.026   9.600  9.30105E-01  9.32297E-01 -2.35020E-03
    8696.900    336.693   9.650  9.06572E-01  9.31352E-01 -2.65914E-02
    8700.587    340.379   9.700  8.89616E-01  9.30407E-01 -4.38175E-02
    8704.292    344.084   9.750  8.80060E-01  9.29462E-01 -5.31216E-02
    8708.016    347.808   9.800  8.77159E-01  9.28518E-01 -5.52818E-02
    8711.759    351.552   9.850  8.78909E-01  9.27573E-01 -5.24355E-02
    8715.522    355.314   9.900  8.82629E-01  9.26628E-01 -4.74578E-02
    8719.303    359.095   9.950  8.85677E-01  9.25683E-01 -4.31957E-02
    8723.104    362.896  10.000  8.86122E-01  9.24738E-01 -4.17386E-02
    8726.923    366.715  10.050  8.83123E-01  9.23677E-01 -4.38836E-02
    8730.762    370.554  10.100  8.77145E-01  9.22617E-01 -4.92615E-02
    8734.619    374.411  10.150  8.70044E-01  9.21556E-01 -5.58704E-02
    8738.496    378.288  10.200  8.64565E-01  9.20496E-01 -6.07322E-02
    8742.392    382.184  10.250  8.63642E-01  9.19435E-01 -6.06527E-02
    8746.306    386.099  10.300  8.69606E-01  9.18375E-01 -5.30780E-02
    8750.240    390.032  10.350  8.83502E-01  9.17314E-01 -3.68420E-02
    8754.193    393.985  10.400  9.04683E-01  9.16253E-01 -1.26223E-02
    8758.165    397.957  10.450  9.30771E-01  9.15193E-01  1.70136E-02
    8762.156    401.948  10.500  9.58033E-01  9.14132E-01  4.80027E-02
    8766.166    405.958  10.550  9.82081E-01  9.13072E-01  7.55444E-02
    8770.195    409.987  10.600  9.98752E-01  9.12011E-01  9.50667E-02
    8774.243    414.035  10.650  1.00499E+00  9.10950E-01  1.03190E-01
    8778.310    418.102  10.700  9.99528E-01  9.09890E-01  9.84713E-02
    8782.396    422.189  10.750  9.83175E-01  9.08829E-01  8.17673E-02
    8786.502    426.294  10.800  9.58730E-01  9.07769E-01  5.61139E-02
