# Energy Intensity
4.972313600000000406e+03 1.993758800000000053e-01
4.972513600000000224e+03 1.958502599999999982e-01
4.972713499999999840e+03 1.908526200000000006e-01
4.972913599999999860e+03 1.849285800000000091e-01
4.973113500000000386e+03 1.784056800000000109e-01
4.973313400000000001e+03 1.712621800000000138e-01
4.973513299999999617e+03 1.657392799999999888e-01
4.973713899999999740e+03 1.631414700000000106e-01
4.973913300000000163e+03 1.621434599999999893e-01
4.974113500000000386e+03 1.615828300000000106e-01
4.974313900000000103e+03 1.631720200000000009e-01
4.974512999999999920e+03 1.673733199999999921e-01
4.974713499999999840e+03 1.747725900000000054e-01
4.974913800000000265e+03 1.851192999999999866e-01
4.975113299999999981e+03 1.966583699999999990e-01
4.975313299999999799e+03 2.096366600000000024e-01
4.975513799999999719e+03 2.242141400000000062e-01
4.975713999999999942e+03 2.408596299999999912e-01
4.975912900000000263e+03 2.593496299999999977e-01
4.976113599999999678e+03 2.774519500000000027e-01
4.976313699999999699e+03 2.955727499999999952e-01
4.976513200000000325e+03 3.161771600000000126e-01
4.976713399999999638e+03 3.385083199999999737e-01
4.976913800000000265e+03 3.603208600000000206e-01
4.977113699999999881e+03 3.812732300000000185e-01
4.977313100000000304e+03 4.019749300000000081e-01
4.977513399999999820e+03 4.221477799999999725e-01
4.977713899999999740e+03 4.417191400000000101e-01
4.977913199999999961e+03 4.590506400000000098e-01
4.978113400000000183e+03 4.715413800000000100e-01
4.978313699999999699e+03 4.804836399999999896e-01
4.978513799999999719e+03 4.886948199999999742e-01
4.978713200000000143e+03 4.963709499999999775e-01
4.978913599999999860e+03 5.051381000000000343e-01
4.979113900000000285e+03 5.168526399999999743e-01
4.979313199999999597e+03 5.326821499999999654e-01
4.979513399999999820e+03 5.539732499999999726e-01
4.979713499999999840e+03 5.810271999999999659e-01
4.979913499999999658e+03 6.131560999999999817e-01
4.980113800000000083e+03 6.492108199999999663e-01
4.980313500000000204e+03 6.872875999999999985e-01
4.980513600000000224e+03 7.260315999999999992e-01
4.980713099999999940e+03 7.656146200000000235e-01
4.980913800000000265e+03 8.037440700000000326e-01
4.981113800000000083e+03 8.403323900000000402e-01
4.981313000000000102e+03 8.757701399999999747e-01
4.981514000000000124e+03 9.107769100000000506e-01
4.981713399999999638e+03 9.478147399999999889e-01
4.981913499999999658e+03 9.876371000000000455e-01
4.982113299999999981e+03 1.029955399999999965e+00
4.982313500000000204e+03 1.074329700000000054e+00
4.982513600000000224e+03 1.120027099999999942e+00
4.982713499999999840e+03 1.166410500000000017e+00
4.982913599999999860e+03 1.212261100000000091e+00
4.983113299999999981e+03 1.256122100000000019e+00
4.983313400000000001e+03 1.298157599999999912e+00
4.983513500000000022e+03 1.337340900000000055e+00
4.983713899999999740e+03 1.372413099999999941e+00
4.983913400000000365e+03 1.403713400000000000e+00
4.984113500000000386e+03 1.430892300000000006e+00
4.984313400000000001e+03 1.455666099999999963e+00
4.984513200000000325e+03 1.475676900000000069e+00
4.984713800000000447e+03 1.485879299999999903e+00
4.984913499999999658e+03 1.487783899999999937e+00
4.985113800000000083e+03 1.483682399999999957e+00
4.985313199999999597e+03 1.474496000000000029e+00
4.985513700000000426e+03 1.461460600000000110e+00
4.985713200000000143e+03 1.446199000000000012e+00
4.985913700000000063e+03 1.430727300000000035e+00
4.986113599999999678e+03 1.416563199999999911e+00
