natx =      424
    x       y        z       iph  
      1.59233     -2.82855     -8.14638   2      8.76925
      7.54273      2.67500     -3.62879   3      8.78729
      7.54273     -2.67500     -3.62879   3      8.78729
     -0.42408     -8.17854     -3.19092   2      8.78922
      4.43914     -6.87796      3.21015   3      8.79303
      7.09577     -4.20296      3.07199   3      8.80068
      0.41746     -8.21546      3.14107   1      8.80536
      4.63321      5.19646     -5.39333   2      8.80669
     -2.92727     -1.52796      8.16561   3      8.80799
      8.25951      2.52146      1.76454   2      8.81424
     -8.26614      2.48454     -1.81439   1      8.82009
      2.67500     -8.40592      0.00000   3      8.82129
     -2.67500     -8.40592      0.00000   3      8.82129
      6.18491     -0.38092      6.28214   3      8.82403
      2.90951     -8.17854      1.76454   2      8.85819
     -7.36641      0.00000      4.95546   3      8.87809
      7.36641      0.00000     -4.95546   3      8.87809
     -2.91614     -8.21546     -1.81439   1      8.90447
      8.25951     -2.82855      1.76454   2      8.90695
     -1.78190     -5.57737      6.72000   2      8.91295
      1.77527     -5.54046     -6.76985   1      8.92632
     -8.26614     -2.86546     -1.81439   1      8.93487
     -5.83227     -5.73092     -3.62879   3      8.94578
      5.79695     -1.52796     -6.70078   3      8.99109
      4.63321     -5.50354     -5.39333   2      8.99131
      8.44246     -0.19046      3.14107   1      9.00986
     -0.25227      3.82204      8.16561   3      9.01936
      5.77859      1.14704     -6.83893   3      9.02656
     -7.42460      2.44762      4.51760   2      9.02908
     -8.44908     -0.22737     -3.19092   2      9.03441
     -1.14087      2.67500     -8.58425   3      9.06347
     -1.14087     -2.67500     -8.58425   3      9.06347
     -0.27063     -4.20296      8.02745   3      9.06521
      2.19273      8.02500     -3.62879   3      9.07616
      2.19273     -8.02500     -3.62879   3      9.07616
      5.95040      5.19646      4.51760   2      9.10050
      0.65859      7.64408      4.95546   3      9.13358
     -0.65859      7.64408     -4.95546   3      9.13358
     -4.90305      3.82204     -6.70078   3      9.14047
     -4.27395     -0.19046      8.09653   1      9.15733
     -7.42460     -2.90238      4.51760   2      9.16281
      3.56811      5.12263      6.72000   2      9.17230
