# 2Theta    Intensity
2.8240e+00  5.2824e+01
2.8292e+00  5.5128e+01
2.8343e+00  5.6646e+01
2.8395e+00  5.6067e+01
2.8447e+00  5.3680e+01
2.8498e+00  5.1465e+01
2.8550e+00  4.9824e+01
2.8602e+00  4.9232e+01
2.8654e+00  4.8962e+01
2.8705e+00  4.8839e+01
2.8757e+00  4.8470e+01
2.8809e+00  4.8408e+01
2.8860e+00  4.8290e+01
2.8912e+00  4.8200e+01
2.8964e+00  4.8143e+01
2.9015e+00  4.8077e+01
2.9067e+00  4.7890e+01
2.9119e+00  4.7845e+01
2.9170e+00  4.7943e+01
2.9222e+00  4.8086e+01
2.9274e+00  4.8119e+01
2.9326e+00  4.7837e+01
2.9377e+00  4.7707e+01
2.9429e+00  4.7515e+01
2.9481e+00  4.7603e+01
2.9532e+00  4.7599e+01
2.9584e+00  4.7455e+01
2.9636e+00  4.7452e+01
2.9687e+00  4.7620e+01
2.9739e+00  4.7011e+01
2.9791e+00  4.7027e+01
2.9842e+00  4.6992e+01
2.9894e+00  4.6953e+01
2.9946e+00  4.6838e+01
2.9998e+00  4.7108e+01
3.0049e+00  4.6926e+01
3.0101e+00  4.6783e+01
3.0153e+00  4.6661e+01
3.0204e+00  4.6789e+01
3.0256e+00  4.6867e+01
3.0308e+00  4.6783e+01
3.0359e+00  4.6559e+01
3.0411e+00  4.6803e+01
3.0463e+00  4.6738e+01
3.0514e+00  4.6648e+01
3.0566e+00  4.7009e+01
3.0618e+00  4.7231e+01
3.0669e+00  4.7468e+01
3.0721e+00  4.7752e+01
3.0773e+00  4.8052e+01
3.0824e+00  4.8352e+01
3.0876e+00  4.8429e+01
3.0928e+00  4.8167e+01
3.0979e+00  4.7749e+01
3.1031e+00  4.6999e+01
3.1083e+00  4.6898e+01
3.1135e+00  4.6893e+01
3.1186e+00  4.6753e+01
3.1238e+00  4.6758e+01
3.1290e+00  4.6839e+01
3.1341e+00  4.6695e+01
3.1393e+00  4.6848e+01
3.1445e+00  4.6765e+01
3.1496e+00  4.6817e+01
3.1548e+00  4.6993e+01
3.1600e+00  4.6961e+01
3.1651e+00  4.7247e+01
3.1703e+00  4.7293e+01
3.1755e+00  4.7576e+01
3.1806e+00  4.7639e+01
3.1858e+00  4.7731e+01
3.1910e+00  4.7701e+01
3.1961e+00  4.7630e+01
3.2013e+00  4.7739e+01
3.2065e+00  4.7702e+01
3.2116e+00  4.7902e+01
3.2168e+00  4.7873e+01
3.2220e+00  4.7785e+01
3.2271e+00  4.7234e+01
3.2323e+00  4.6774e+01
3.2375e+00  4.6515e+01
3.2426e+00  4.6146e+01
3.2478e+00  4.5846e+01
3.2530e+00  4.5600e+01
3.2581e+00  4.5433e+01
3.2633e+00  4.5053e+01
3.2685e+00  4.4910e+01
3.2736e+00  4.4710e+01
3.2788e+00  4.4651e+01
3.2840e+00  4.4423e+01
3.2891e+00  4.4251e+01
3.2943e+00  4.4217e+01
3.2995e+00  4.4183e+01
3.3046e+00  4.4144e+01
3.3098e+00  4.3848e+01
3.3150e+00  4.3766e+01
3.3201e+00  4.3860e+01
3.3253e+00  4.3829e+01
3.3305e+00  4.3695e+01
3.3356e+00  4.3416e+01
3.3408e+00  4.3354e+01
3.3460e+00  4.3186e+01
3.3511e+00  4.2946e+01
3.3563e+00  4.2852e+01
3.3615e+00  4.2919e+01
3.3666e+00  4.2677e+01
3.3718e+00  4.2563e+01
3.3769e+00  4.2528e+01
3.3821e+00  4.2524e+01
3.3873e+00  4.2559e+01
3.3924e+00  4.2378e+01
3.3976e+00  4.2299e+01
3.4028e+00  4.2046e+01
3.4079e+00  4.2268e+01
3.4131e+00  4.2407e+01
3.4183e+00  4.2408e+01
3.4234e+00  4.2295e+01
3.4286e+00  4.2547e+01
3.4338e+00  4.2942e+01
3.4389e+00  4.3182e+01
3.4441e+00  4.3381e+01
3.4493e+00  4.3652e+01
3.4544e+00  4.3700e+01
3.4596e+00  4.3677e+01
3.4647e+00  4.3397e+01
3.4699e+00  4.2679e+01
3.4751e+00  4.2051e+01
3.4802e+00  4.1631e+01
3.4854e+00  4.1337e+01
3.4906e+00  4.1325e+01
3.4957e+00  4.1095e+01
3.5009e+00  4.1050e+01
3.5061e+00  4.1075e+01
3.5112e+00  4.1172e+01
3.5164e+00  4.1371e+01
3.5216e+00  4.1359e+01
3.5267e+00  4.1485e+01
3.5319e+00  4.1290e+01
3.5370e+00  4.1347e+01
3.5422e+00  4.1337e+01
3.5474e+00  4.1280e+01
3.5525e+00  4.1166e+01
3.5577e+00  4.1011e+01
3.5629e+00  4.0853e+01
3.5680e+00  4.0891e+01
3.5732e+00  4.0986e+01
3.5784e+00  4.1061e+01
3.5835e+00  4.1270e+01
3.5887e+00  4.1453e+01
3.5938e+00  4.1975e+01
3.5990e+00  4.2325e+01
3.6042e+00  4.3098e+01
3.6093e+00  4.3882e+01
3.6145e+00  4.4831e+01
3.6197e+00  4.6715e+01
3.6248e+00  4.9757e+01
3.6300e+00  5.6106e+01
3.6351e+00  7.8222e+01
3.6403e+00  1.6053e+02
3.6455e+00  4.0395e+02
3.6506e+00  8.9246e+02
3.6558e+00  1.4438e+03
3.6610e+00  1.5305e+03
3.6661e+00  1.0602e+03
3.6713e+00  4.7429e+02
3.6764e+00  1.6852e+02
3.6816e+00  7.7623e+01
3.6868e+00  5.6591e+01
3.6919e+00  4.9957e+01
3.6971e+00  4.6850e+01
3.7023e+00  4.4788e+01
3.7074e+00  4.3717e+01
3.7126e+00  4.2557e+01
3.7177e+00  4.1827e+01
3.7229e+00  4.1014e+01
3.7281e+00  4.0679e+01
3.7332e+00  4.0216e+01
3.7384e+00  3.9628e+01
3.7436e+00  3.9267e+01
3.7487e+00  3.9039e+01
3.7539e+00  3.8518e+01
3.7590e+00  3.8279e+01
3.7642e+00  3.8133e+01
3.7694e+00  3.7961e+01
3.7745e+00  3.7757e+01
3.7797e+00  3.7659e+01
3.7848e+00  3.7400e+01
3.7900e+00  3.7180e+01
3.7952e+00  3.6936e+01
3.8003e+00  3.7093e+01
3.8055e+00  3.6978e+01
3.8107e+00  3.6582e+01
3.8158e+00  3.6675e+01
3.8210e+00  3.6656e+01
3.8261e+00  3.6462e+01
3.8313e+00  3.6518e+01
3.8365e+00  3.6504e+01
3.8416e+00  3.6790e+01
3.8468e+00  3.7033e+01
3.8519e+00  3.7461e+01
3.8571e+00  3.7981e+01
3.8623e+00  3.8266e+01
3.8674e+00  3.8055e+01
3.8726e+00  3.7462e+01
3.8777e+00  3.6756e+01
3.8829e+00  3.6334e+01
3.8881e+00  3.6169e+01
3.8932e+00  3.6001e+01
3.8984e+00  3.5790e+01
3.9035e+00  3.6047e+01
3.9087e+00  3.6154e+01
3.9139e+00  3.5919e+01
3.9190e+00  3.5823e+01
3.9242e+00  3.5771e+01
3.9293e+00  3.5630e+01
3.9345e+00  3.5654e+01
3.9397e+00  3.5521e+01
3.9448e+00  3.5841e+01
3.9500e+00  3.5653e+01
3.9551e+00  3.6008e+01
3.9603e+00  3.6206e+01
3.9655e+00  3.6279e+01
3.9706e+00  3.6487e+01
3.9758e+00  3.7006e+01
3.9809e+00  3.7426e+01
3.9861e+00  3.8112e+01
3.9912e+00  3.9671e+01
3.9964e+00  4.2223e+01
4.0016e+00  4.5765e+01
4.0067e+00  4.8908e+01
4.0119e+00  5.0114e+01
4.0170e+00  4.8114e+01
4.0222e+00  4.3822e+01
4.0274e+00  4.0399e+01
4.0325e+00  3.8368e+01
4.0377e+00  3.7462e+01
4.0428e+00  3.7462e+01
4.0480e+00  3.7540e+01
4.0531e+00  3.7726e+01
4.0583e+00  3.7864e+01
4.0635e+00  3.8186e+01
4.0686e+00  3.8867e+01
4.0738e+00  3.9265e+01
4.0789e+00  3.9466e+01
4.0841e+00  3.8891e+01
4.0893e+00  3.8051e+01
4.0944e+00  3.6752e+01
4.0996e+00  3.5997e+01
4.1047e+00  3.5383e+01
4.1099e+00  3.4862e+01
4.1150e+00  3.4691e+01
4.1202e+00  3.4386e+01
4.1254e+00  3.4137e+01
4.1305e+00  3.4127e+01
4.1357e+00  3.3876e+01
4.1408e+00  3.3858e+01
4.1460e+00  3.3674e+01
4.1511e+00  3.3749e+01
4.1563e+00  3.3525e+01
4.1615e+00  3.3460e+01
4.1666e+00  3.3539e+01
4.1718e+00  3.3562e+01
4.1769e+00  3.3515e+01
4.1821e+00  3.3394e+01
4.1872e+00  3.3582e+01
4.1924e+00  3.3700e+01
4.1976e+00  3.3595e+01
4.2027e+00  3.3910e+01
4.2079e+00  3.4384e+01
4.2130e+00  3.5078e+01
4.2182e+00  3.5407e+01
4.2233e+00  3.5225e+01
4.2285e+00  3.4780e+01
4.2336e+00  3.4223e+01
4.2388e+00  3.3832e+01
4.2440e+00  3.3554e+01
4.2491e+00  3.3348e+01
4.2543e+00  3.3101e+01
4.2594e+00  3.3275e+01
4.2646e+00  3.3255e+01
4.2697e+00  3.3025e+01
4.2749e+00  3.3221e+01
4.2800e+00  3.3263e+01
4.2852e+00  3.3096e+01
4.2904e+00  3.3283e+01
4.2955e+00  3.3117e+01
4.3007e+00  3.3185e+01
4.3058e+00  3.3434e+01
4.3110e+00  3.3946e+01
4.3161e+00  3.4721e+01
4.3213e+00  3.5589e+01
4.3264e+00  3.6238e+01
4.3316e+00  3.6051e+01
4.3368e+00  3.5400e+01
4.3419e+00  3.4490e+01
4.3471e+00  3.3769e+01
4.3522e+00  3.3316e+01
4.3574e+00  3.2976e+01
4.3625e+00  3.3285e+01
4.3677e+00  3.3038e+01
4.3728e+00  3.3061e+01
4.3780e+00  3.2979e+01
4.3831e+00  3.3120e+01
4.3883e+00  3.3066e+01
4.3934e+00  3.2846e+01
4.3986e+00  3.3224e+01
4.4038e+00  3.3421e+01
4.4089e+00  3.3513e+01
4.4141e+00  3.3642e+01
4.4192e+00  3.3925e+01
4.4244e+00  3.4199e+01
4.4295e+00  3.4608e+01
4.4347e+00  3.5163e+01
4.4398e+00  3.6055e+01
4.4450e+00  3.6925e+01
4.4501e+00  3.9422e+01
4.4553e+00  4.6284e+01
4.4604e+00  6.9856e+01
4.4656e+00  1.3826e+02
4.4707e+00  3.0729e+02
4.4759e+00  5.3804e+02
4.4811e+00  6.6455e+02
4.4862e+00  5.8904e+02
4.4914e+00  3.5003e+02
4.4965e+00  1.5154e+02
4.5017e+00  6.8418e+01
4.5068e+00  4.5476e+01
