# Energy Intensity
4.947313799999999901e+03 1.724349200000000089e-03
4.947513500000000022e+03 1.674933399999999897e-03
4.947713200000000143e+03 1.785039300000000086e-03
4.947913899999999558e+03 2.048431600000000068e-03
4.948113699999999881e+03 2.210991399999999961e-03
4.948313000000000102e+03 2.206240700000000176e-03
4.948513600000000224e+03 2.255841099999999783e-03
4.948713399999999638e+03 2.367606899999999837e-03
4.948913999999999760e+03 2.404279799999999891e-03
4.949113099999999577e+03 2.363886200000000007e-03
4.949313600000000406e+03 2.326574799999999929e-03
4.949513799999999719e+03 2.557108499999999947e-03
4.949713300000000345e+03 2.866198400000000059e-03
4.949913400000000365e+03 2.999890299999999951e-03
4.950113400000000183e+03 2.958398699999999909e-03
4.950314000000000306e+03 2.912296600000000187e-03
4.950513299999999617e+03 3.042392200000000168e-03
4.950712999999999738e+03 3.309735600000000052e-03
4.950913599999999860e+03 3.432357999999999937e-03
4.951114099999999780e+03 3.377765799999999860e-03
4.951313199999999597e+03 3.455026999999999838e-03
4.951513700000000426e+03 3.622469799999999962e-03
4.951713399999999638e+03 3.774268999999999801e-03
4.951913400000000365e+03 3.929481599999999630e-03
4.952113500000000386e+03 3.927641899999999818e-03
4.952313299999999799e+03 4.019574599999999921e-03
4.952513799999999719e+03 4.294382099999999834e-03
4.952713499999999840e+03 4.498240899999999577e-03
4.952913199999999961e+03 4.512251000000000109e-03
4.953113599999999678e+03 4.524122200000000281e-03
4.953313500000000204e+03 4.655641299999999962e-03
4.953513700000000426e+03 4.921618200000000068e-03
4.953713399999999638e+03 5.189694299999999573e-03
4.953913499999999658e+03 5.338117699999999667e-03
4.954113199999999779e+03 5.505330099999999720e-03
4.954313699999999699e+03 5.621115299999999981e-03
4.954514000000000124e+03 5.794956199999999613e-03
4.954713200000000143e+03 6.092265300000000022e-03
4.954913400000000365e+03 6.195859899999999615e-03
4.955113500000000386e+03 6.310893300000000247e-03
4.955313600000000406e+03 6.516485199999999881e-03
4.955513799999999719e+03 6.659799499999999838e-03
4.955713200000000143e+03 6.844863500000000246e-03
4.955913599999999860e+03 7.078306500000000091e-03
4.956113500000000386e+03 7.237341199999999634e-03
