 # r       w_scrn(r)      v_ch(r)
    0.2018964795E+00    0.2524073433E+01    0.4952624233E+01
    0.2122479333E+00    0.2290658798E+01    0.4711238432E+01
    0.2231301176E+00    0.2070318822E+01    0.4481560836E+01
    0.2345702434E+00    0.1862688224E+01    0.4263045438E+01
    0.2465969169E+00    0.1667427787E+01    0.4055163787E+01
    0.2592402112E+00    0.1484226471E+01    0.3857407139E+01
    0.2725317411E+00    0.1312799594E+01    0.3669287618E+01
    0.2865047422E+00    0.1152881180E+01    0.3490338669E+01
    0.3011941545E+00    0.1004227080E+01    0.3320114987E+01
    0.3166367090E+00    0.8665959185E+00    0.3158192100E+01
    0.3328710202E+00    0.7397604518E+00    0.3004165734E+01
    0.3499376824E+00    0.6234759907E+00    0.2857651060E+01
    0.3678793710E+00    0.5175036161E+00    0.2718281867E+01
    0.3867409497E+00    0.4215652143E+00    0.2585709736E+01
    0.4065695822E+00    0.3353808140E+00    0.2459603201E+01
    0.4274148504E+00    0.2586115447E+00    0.2339646943E+01
    0.4493288784E+00    0.1909130020E+00    0.2225541018E+01
    0.4723664626E+00    0.1318677211E+00    0.2117000102E+01
    0.4965852091E+00    0.8105351543E-01    0.2013752789E+01
    0.5220456772E+00    0.3797008914E-01    0.1915540907E+01
    0.5488115314E+00    0.2120356253E-02    0.1822118875E+01
    0.5769497003E+00   -0.2706595106E-01    0.1733253088E+01
    0.6065305440E+00   -0.5014333792E-01    0.1648721338E+01
    0.6376280300E+00   -0.6772485999E-01    0.1568312249E+01
    0.6703199182E+00   -0.8039066998E-01    0.1491824759E+01
    0.7046879553E+00   -0.8875942043E-01    0.1419067607E+01
    0.7408180794E+00   -0.9340067341E-01    0.1349858863E+01
    0.7788006345E+00   -0.9490040962E-01    0.1284025469E+01
    0.8187305969E+00   -0.9378125506E-01    0.1221402808E+01
    0.8607078123E+00   -0.9056354548E-01    0.1161834290E+01
    0.9048372455E+00   -0.8569654473E-01    0.1105170963E+01
    0.9512292431E+00   -0.7961327961E-01    0.1051271139E+01
    0.9999998093E+00   -0.7267320332E-01    0.1000000041E+01
    0.1051270896E+01   -0.6521259304E-01    0.9512294635E+00
    0.1105170707E+01   -0.5749834863E-01    0.9048374551E+00
    0.1161834021E+01   -0.4977220147E-01    0.8607080117E+00
    0.1221402525E+01   -0.4221398170E-01    0.8187307866E+00
    0.1284025172E+01   -0.3498116540E-01    0.7788008150E+00
    0.1349858550E+01   -0.2818001764E-01    0.7408182510E+00
    0.1419067278E+01   -0.2189884231E-01    0.7046881186E+00
    0.1491824413E+01   -0.1618531393E-01    0.6703200735E+00
    0.1568311886E+01   -0.1107492587E-01    0.6376281777E+00
    0.1648720956E+01   -0.6573271304E-02    0.6065306846E+00
    0.1733252687E+01   -0.2678276267E-02    0.5769498340E+00
    0.1822118453E+01    0.6333933575E-03    0.5488116586E+00
    0.1915540464E+01    0.3388777838E-02    0.5220457981E+00
    0.2013752323E+01    0.5628712959E-02    0.4965853241E+00
    0.2116999613E+01    0.7396091398E-02    0.4723665721E+00
    0.2225540504E+01    0.8742499578E-02    0.4493289825E+00
    0.2339646406E+01    0.9720631366E-02    0.4274149495E+00
    0.2459602642E+01    0.1038786027E-01    0.4065696764E+00
    0.2585709166E+01    0.1080347604E-01    0.3867410393E+00
    0.2718281310E+01    0.1102805619E-01    0.3678794562E+00
    0.2857650573E+01    0.1107233155E-01    0.3499377634E+00
    0.3004165451E+01    0.1096739203E-01    0.3328710973E+00
    0.3158192307E+01    0.1073922508E-01    0.3166367823E+00
    0.3320116289E+01    0.1040913172E-01    0.3011942242E+00
    0.3490342292E+01    0.9994029101E-02    0.2865048086E+00
