# 2Theta    Intensity
1.5877e+00  1.6957e+01
1.5937e+00  1.7491e+01
1.5998e+00  1.7450e+01
1.6058e+00  1.7051e+01
1.6119e+00  1.7081e+01
1.6179e+00  1.7272e+01
1.6240e+00  1.6802e+01
1.6300e+00  1.7208e+01
1.6361e+00  1.7449e+01
1.6421e+00  1.7405e+01
1.6482e+00  1.7268e+01
1.6542e+00  1.7233e+01
1.6603e+00  1.7467e+01
1.6663e+00  1.7283e+01
1.6724e+00  1.7284e+01
1.6784e+00  1.7135e+01
1.6845e+00  1.7445e+01
1.6905e+00  1.7518e+01
1.6966e+00  1.7576e+01
1.7026e+00  1.7233e+01
1.7086e+00  1.7579e+01
1.7147e+00  1.7666e+01
1.7207e+00  1.7232e+01
1.7268e+00  1.7567e+01
1.7328e+00  1.7532e+01
1.7389e+00  1.7338e+01
1.7449e+00  1.7618e+01
1.7510e+00  1.7724e+01
1.7570e+00  1.7719e+01
1.7631e+00  1.7546e+01
1.7691e+00  1.7447e+01
1.7752e+00  1.7804e+01
1.7812e+00  1.8075e+01
1.7873e+00  1.7833e+01
1.7933e+00  1.7842e+01
1.7994e+00  1.7766e+01
1.8054e+00  1.7511e+01
1.8115e+00  1.7731e+01
1.8175e+00  1.7821e+01
1.8235e+00  1.7581e+01
1.8296e+00  1.7802e+01
1.8356e+00  1.7877e+01
1.8417e+00  1.7560e+01
1.8477e+00  1.7491e+01
1.8538e+00  1.7503e+01
1.8598e+00  1.7689e+01
1.8659e+00  1.7679e+01
1.8719e+00  1.7512e+01
1.8780e+00  1.7583e+01
1.8840e+00  1.7072e+01
1.8901e+00  1.7590e+01
1.8961e+00  1.7428e+01
1.9021e+00  1.7008e+01
1.9082e+00  1.7242e+01
1.9142e+00  1.6851e+01
1.9203e+00  1.7451e+01
1.9263e+00  1.7003e+01
1.9324e+00  1.7312e+01
1.9384e+00  1.7391e+01
1.9445e+00  1.7048e+01
1.9505e+00  1.6942e+01
1.9566e+00  1.7159e+01
1.9626e+00  1.7566e+01
1.9687e+00  1.7378e+01
1.9747e+00  1.7264e+01
1.9807e+00  1.7280e+01
1.9868e+00  1.7477e+01
1.9928e+00  1.7059e+01
1.9989e+00  1.7690e+01
2.0049e+00  1.7681e+01
2.0110e+00  1.7440e+01
2.0170e+00  1.7365e+01
2.0231e+00  1.7346e+01
2.0291e+00  1.7200e+01
2.0352e+00  1.7244e+01
2.0412e+00  1.7310e+01
2.0472e+00  1.7216e+01
2.0533e+00  1.7468e+01
2.0593e+00  1.7070e+01
2.0654e+00  1.7060e+01
2.0714e+00  1.7038e+01
2.0775e+00  1.7026e+01
2.0835e+00  1.7171e+01
2.0896e+00  1.7163e+01
2.0956e+00  1.6826e+01
2.1016e+00  1.6934e+01
2.1077e+00  1.6865e+01
2.1137e+00  1.6811e+01
2.1198e+00  1.7161e+01
2.1258e+00  1.6819e+01
2.1319e+00  1.6849e+01
2.1379e+00  1.6871e+01
2.1440e+00  1.6954e+01
2.1500e+00  1.6929e+01
2.1561e+00  1.6917e+01
2.1621e+00  1.6939e+01
2.1681e+00  1.6814e+01
2.1742e+00  1.6490e+01
2.1802e+00  1.6753e+01
2.1863e+00  1.6901e+01
2.1923e+00  1.6736e+01
2.1984e+00  1.6639e+01
2.2044e+00  1.6616e+01
2.2104e+00  1.6514e+01
2.2165e+00  1.6579e+01
2.2225e+00  1.6685e+01
2.2286e+00  1.6586e+01
2.2346e+00  1.6298e+01
2.2407e+00  1.6432e+01
2.2467e+00  1.6567e+01
2.2528e+00  1.6494e+01
2.2588e+00  1.6419e+01
2.2648e+00  1.6635e+01
2.2709e+00  1.6574e+01
2.2769e+00  1.6463e+01
2.2830e+00  1.6116e+01
2.2890e+00  1.6338e+01
2.2951e+00  1.6200e+01
2.3011e+00  1.6402e+01
2.3071e+00  1.6599e+01
2.3132e+00  1.6506e+01
2.3192e+00  1.6734e+01
2.3253e+00  1.6087e+01
2.3313e+00  1.6517e+01
2.3374e+00  1.6050e+01
2.3434e+00  1.6224e+01
2.3494e+00  1.6174e+01
2.3555e+00  1.5948e+01
2.3615e+00  1.6186e+01
2.3676e+00  1.6129e+01
2.3736e+00  1.6059e+01
2.3797e+00  1.5771e+01
2.3857e+00  1.5846e+01
2.3917e+00  1.6115e+01
2.3978e+00  1.5745e+01
2.4038e+00  1.6075e+01
2.4099e+00  1.5931e+01
2.4159e+00  1.5650e+01
2.4220e+00  1.5734e+01
2.4280e+00  1.6023e+01
2.4340e+00  1.5813e+01
2.4401e+00  1.6142e+01
2.4461e+00  1.5786e+01
2.4522e+00  1.6130e+01
2.4582e+00  1.5980e+01
2.4642e+00  1.6146e+01
2.4703e+00  1.6225e+01
2.4763e+00  1.6277e+01
2.4824e+00  1.6129e+01
2.4884e+00  1.5917e+01
2.4945e+00  1.6053e+01
2.5005e+00  1.6280e+01
2.5065e+00  1.6232e+01
2.5126e+00  1.5938e+01
2.5186e+00  1.6274e+01
2.5247e+00  1.6175e+01
2.5307e+00  1.6060e+01
2.5367e+00  1.6193e+01
2.5428e+00  1.6257e+01
