# 2Theta    Intensity
4.1254e+00  8.3698e+00
4.1322e+00  8.3562e+00
4.1390e+00  8.3637e+00
4.1458e+00  8.4043e+00
4.1526e+00  8.4892e+00
4.1594e+00  8.4613e+00
4.1662e+00  8.4354e+00
4.1730e+00  8.4232e+00
4.1798e+00  8.4122e+00
4.1866e+00  8.4581e+00
4.1934e+00  8.4458e+00
4.2002e+00  8.4627e+00
4.2070e+00  8.4297e+00
4.2138e+00  8.4150e+00
4.2206e+00  8.4034e+00
4.2274e+00  8.4036e+00
4.2342e+00  8.4483e+00
4.2410e+00  8.4454e+00
4.2477e+00  8.4647e+00
4.2545e+00  8.4668e+00
4.2613e+00  8.4549e+00
4.2681e+00  8.5239e+00
4.2749e+00  8.4762e+00
4.2817e+00  8.5440e+00
4.2885e+00  8.5176e+00
4.2953e+00  8.5058e+00
4.3021e+00  8.5853e+00
4.3089e+00  8.6116e+00
4.3157e+00  8.6572e+00
4.3225e+00  8.6578e+00
4.3293e+00  8.7145e+00
4.3361e+00  8.7176e+00
4.3429e+00  8.8080e+00
4.3497e+00  8.8411e+00
4.3565e+00  8.9294e+00
4.3633e+00  9.0432e+00
4.3701e+00  9.0700e+00
4.3769e+00  9.1921e+00
4.3837e+00  9.3610e+00
4.3904e+00  9.5369e+00
4.3972e+00  9.8921e+00
4.4040e+00  1.0463e+01
4.4108e+00  1.1777e+01
4.4176e+00  1.4466e+01
4.4244e+00  2.1994e+01
4.4312e+00  4.2066e+01
4.4380e+00  8.5542e+01
4.4448e+00  1.6289e+02
4.4516e+00  2.5209e+02
4.4584e+00  3.0120e+02
4.4652e+00  2.7128e+02
4.4720e+00  1.8591e+02
4.4788e+00  9.1580e+01
4.4855e+00  4.2367e+01
4.4923e+00  2.2178e+01
4.4991e+00  1.4761e+01
4.5059e+00  1.1734e+01
4.5127e+00  1.0449e+01
4.5195e+00  9.8228e+00
4.5263e+00  9.4056e+00
4.5331e+00  9.2588e+00
4.5399e+00  9.0510e+00
4.5467e+00  8.9780e+00
4.5535e+00  8.8741e+00
4.5603e+00  8.8506e+00
4.5670e+00  8.7844e+00
4.5738e+00  8.6774e+00
4.5806e+00  8.6128e+00
4.5874e+00  8.5592e+00
4.5942e+00  8.5659e+00
4.6010e+00  8.5533e+00
4.6078e+00  8.5192e+00
4.6146e+00  8.4840e+00
4.6214e+00  8.4064e+00
4.6282e+00  8.4107e+00
4.6349e+00  8.4184e+00
4.6417e+00  8.3976e+00
4.6485e+00  8.3072e+00
4.6553e+00  8.3499e+00
4.6621e+00  8.3067e+00
4.6689e+00  8.2260e+00
4.6757e+00  8.2929e+00
4.6825e+00  8.2151e+00
4.6892e+00  8.2760e+00
4.6960e+00  8.2859e+00
4.7028e+00  8.2289e+00
4.7096e+00  8.2270e+00
4.7164e+00  8.2711e+00
4.7232e+00  8.1956e+00
4.7300e+00  8.1803e+00
4.7368e+00  8.2235e+00
4.7436e+00  8.2674e+00
4.7503e+00  8.1782e+00
4.7571e+00  8.1844e+00
4.7639e+00  8.1539e+00
4.7707e+00  8.2398e+00
4.7775e+00  8.1556e+00
4.7843e+00  8.1819e+00
4.7911e+00  8.1702e+00
4.7978e+00  8.1504e+00
4.8046e+00  8.1384e+00
4.8114e+00  8.1616e+00
4.8182e+00  8.1804e+00
4.8250e+00  8.1674e+00
4.8318e+00  8.1186e+00
4.8386e+00  8.1600e+00
4.8453e+00  8.1604e+00
4.8521e+00  8.0859e+00
4.8589e+00  8.1509e+00
4.8657e+00  8.1828e+00
4.8725e+00  8.1417e+00
4.8793e+00  8.2096e+00
4.8860e+00  8.0952e+00
4.8928e+00  8.1602e+00
4.8996e+00  8.1428e+00
4.9064e+00  8.0995e+00
4.9132e+00  8.1838e+00
4.9200e+00  8.1421e+00
4.9267e+00  8.2017e+00
4.9335e+00  8.1930e+00
4.9403e+00  8.1774e+00
4.9471e+00  8.1766e+00
4.9539e+00  8.2184e+00
4.9607e+00  8.2184e+00
4.9674e+00  8.2003e+00
4.9742e+00  8.1984e+00
4.9810e+00  8.2076e+00
4.9878e+00  8.2346e+00
4.9946e+00  8.2668e+00
5.0014e+00  8.3239e+00
5.0081e+00  8.3552e+00
5.0149e+00  8.3466e+00
5.0217e+00  8.4035e+00
5.0285e+00  8.3767e+00
5.0353e+00  8.4741e+00
5.0420e+00  8.4379e+00
5.0488e+00  8.4573e+00
5.0556e+00  8.4940e+00
5.0624e+00  8.5965e+00
5.0692e+00  8.6057e+00
5.0759e+00  8.7143e+00
5.0827e+00  8.8086e+00
5.0895e+00  9.0083e+00
5.0963e+00  9.4060e+00
5.1031e+00  1.0225e+01
5.1098e+00  1.2112e+01
5.1166e+00  1.7071e+01
5.1234e+00  2.9848e+01
5.1302e+00  5.8072e+01
5.1370e+00  9.7874e+01
5.1437e+00  1.4224e+02
5.1505e+00  1.5163e+02
5.1573e+00  1.2744e+02
5.1641e+00  8.1578e+01
5.1709e+00  4.0999e+01
5.1776e+00  2.1804e+01
5.1844e+00  1.3795e+01
5.1912e+00  1.0848e+01
5.1980e+00  9.6842e+00
5.2047e+00  9.1823e+00
5.2115e+00  8.9032e+00
5.2183e+00  8.7863e+00
5.2251e+00  8.6979e+00
5.2319e+00  8.5893e+00
5.2386e+00  8.5718e+00
5.2454e+00  8.5614e+00
5.2522e+00  8.4786e+00
5.2590e+00  8.4753e+00
5.2657e+00  8.4052e+00
5.2725e+00  8.4307e+00
5.2793e+00  8.3493e+00
5.2861e+00  8.3304e+00
5.2928e+00  8.3200e+00
5.2996e+00  8.2491e+00
5.3064e+00  8.2413e+00
5.3132e+00  8.3236e+00
5.3199e+00  8.3113e+00
5.3267e+00  8.3250e+00
5.3335e+00  8.2708e+00
5.3403e+00  8.3233e+00
5.3470e+00  8.2698e+00
5.3538e+00  8.2665e+00
5.3606e+00  8.2619e+00
5.3674e+00  8.2535e+00
5.3741e+00  8.2656e+00
5.3809e+00  8.2773e+00
5.3877e+00  8.2632e+00
5.3945e+00  8.2315e+00
5.4012e+00  8.2639e+00
5.4080e+00  8.2210e+00
5.4148e+00  8.2215e+00
5.4215e+00  8.2238e+00
5.4283e+00  8.2542e+00
5.4351e+00  8.2086e+00
5.4419e+00  8.2339e+00
5.4486e+00  8.2848e+00
5.4554e+00  8.2602e+00
5.4622e+00  8.2755e+00
5.4689e+00  8.2621e+00
5.4757e+00  8.2465e+00
5.4825e+00  8.2894e+00
5.4893e+00  8.2690e+00
5.4960e+00  8.2819e+00
5.5028e+00  8.2563e+00
5.5096e+00  8.3243e+00
5.5163e+00  8.3116e+00
5.5231e+00  8.2904e+00
5.5299e+00  8.3193e+00
5.5367e+00  8.3455e+00
5.5434e+00  8.3534e+00
5.5502e+00  8.3764e+00
5.5570e+00  8.3133e+00
5.5637e+00  8.4262e+00
5.5705e+00  8.4349e+00
