# # xx                                                           FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# # Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# # Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# # Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# # Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.2463
#           2       0.00000     91.60      1.00     2   2.3355
#           3       0.00000     86.95      1.00     2   2.3891
#           4       0.00000     84.35      1.00     2   2.4208
#           5       0.00000     29.01      1.00     2   3.7168
#           6       0.00000     26.68      1.00     2   3.8394
#           7       0.00000     12.65      2.00     3   4.0191
#           8       0.00000     12.79      2.00     3   4.0234
#           9       0.00000     23.41      1.00     2   4.0357
#          10       0.00000     22.73      1.00     2   4.0594
#          11       0.00000     15.65      1.00     2   4.1582
#          12       0.00000     13.28      2.00     3   4.2204
#          13       0.00000      9.77      2.00     3   4.2360
#          14       0.00000     17.79      1.00     2   4.4385
#          15       0.00000     10.96      2.00     3   4.4404
#          16       0.00000     17.83      1.00     2   4.4634
#          17       0.00000     19.38      2.00     3   4.4658
#          18       0.00000     11.46      2.00     3   4.4787
#          19       0.00000     13.41      1.00     4   4.4926
#          20       0.00000     12.43      2.00     3   4.5004
#          21       0.00000      9.41      2.00     3   4.5398
#          22       0.00000      6.75      2.00     4   4.5818
#          23       0.00000     12.58      2.00     3   4.6188
#          24       0.00000      4.14      2.00     4   4.6354
#          25       0.00000     14.04      2.00     4   4.6671
#          26       0.00000     10.83      1.00     4   4.6710
#          27       0.00000      9.18      2.00     3   4.7524
#          29       0.00000      9.56      1.00     4   4.7783
#          31       0.00000      5.58      2.00     4   4.8099
#          32       0.00000      8.90      1.00     4   4.8416
#          33       0.00000     10.38      2.00     3   4.9811
#    31/  33 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     5.1500   -3.654650E-02  3.897451E-02  1.763360E+01
     5.2000   -3.401803E-02  3.838456E-02  1.776039E+01
     5.2500   -3.141158E-02  3.843442E-02  1.789289E+01
     5.3000   -2.836080E-02  3.893934E-02  1.803367E+01
     5.3500   -2.453110E-02  3.978356E-02  1.818512E+01
     5.4000   -1.963092E-02  4.084499E-02  1.834819E+01
     5.4500   -1.350843E-02  4.214599E-02  1.852328E+01
     5.5000   -6.065719E-03  4.344378E-02  1.870948E+01
     5.5500    2.490925E-03  4.464890E-02  1.890537E+01
     5.6000    1.174369E-02  4.569082E-02  1.910950E+01
     5.6500    2.114541E-02  4.657699E-02  1.932079E+01
     5.7000    2.997793E-02  4.720965E-02  1.953756E+01
     5.7500    3.752450E-02  4.756296E-02  1.975864E+01
     5.8000    4.314027E-02  4.762221E-02  1.998302E+01
     5.8500    4.641173E-02  4.745799E-02  2.020998E+01
     5.9000    4.698416E-02  4.699186E-02  2.043845E+01
     5.9500    4.482729E-02  4.623355E-02  2.066763E+01
     6.0000    4.016732E-02  4.519957E-02  2.089672E+01
     6.0500    3.349490E-02  4.400456E-02  2.112604E+01
     6.1000    2.532963E-02  4.256108E-02  2.135371E+01
     6.1500    1.639588E-02  4.090344E-02  2.157871E+01
     6.2000    7.425801E-03  3.907540E-02  2.179995E+01
     6.2500   -9.358962E-04  3.712799E-02  2.201636E+01
     6.3000   -8.203921E-03  3.511628E-02  2.222695E+01
     6.3500   -1.408770E-02  3.309550E-02  2.243085E+01
     6.4000   -1.848802E-02  3.111746E-02  2.262734E+01
     6.4500   -2.146415E-02  2.922831E-02  2.281587E+01
     6.5000   -2.318635E-02  2.746818E-02  2.299606E+01
     6.5500   -2.392014E-02  2.589399E-02  2.316896E+01
     6.6000   -2.390198E-02  2.454440E-02  2.333265E+01
     6.6500   -2.339688E-02  2.345987E-02  2.348865E+01
     6.7000   -2.259530E-02  2.266368E-02  2.363965E+01
     6.7500   -2.158736E-02  2.215689E-02  2.378917E+01
     6.8000   -2.036098E-02  2.191699E-02  2.394103E+01
     6.8500   -1.882250E-02  2.190120E-02  2.409859E+01
     6.9000   -1.683443E-02  2.205354E-02  2.426427E+01
     6.9500   -1.426192E-02  2.231306E-02  2.443932E+01
     7.0000   -1.101830E-02  2.262087E-02  2.462399E+01
     7.0500   -7.017897E-03  2.296043E-02  2.482212E+01
     7.1000   -2.415660E-03  2.325507E-02  2.502868E+01
     7.1500    2.572992E-03  2.346867E-02  2.524260E+01
     7.2000    7.638550E-03  2.357372E-02  2.546273E+01
     7.2500    1.241335E-02  2.355083E-02  2.568791E+01
     7.3000    1.651975E-02  2.338800E-02  2.591705E+01
     7.3500    1.962227E-02  2.307982E-02  2.614909E+01
     7.4000    2.147458E-02  2.262672E-02  2.638305E+01
     7.4500    2.195354E-02  2.203417E-02  2.661796E+01
     7.5000    2.107467E-02  2.131201E-02  2.685292E+01
     7.5500    1.900771E-02  2.052691E-02  2.709068E+01
     7.6000    1.594076E-02  1.963049E-02  2.732669E+01
     7.6500    1.221362E-02  1.864031E-02  2.755985E+01
     7.7000    8.200472E-03  1.757666E-02  2.778894E+01
     7.7500    4.259884E-03  1.646246E-02  2.801259E+01
     7.8000    6.907194E-04  1.532311E-02  2.822924E+01
     7.8500   -2.299565E-03  1.418646E-02  2.843715E+01
     7.9000   -4.609970E-03  1.308268E-02  2.863444E+01
     7.9500   -6.243180E-03  1.204396E-02  2.881927E+01
     8.0000   -7.286878E-03  1.110370E-02  2.899018E+01
     8.0500   -7.914468E-03  1.032857E-02  2.914735E+01
     8.1000   -8.250712E-03  9.707278E-03  2.929023E+01
     8.1500   -8.448779E-03  9.266439E-03  2.942189E+01
     8.2000   -8.623729E-03  9.019278E-03  2.954787E+01
     8.2500   -8.831969E-03  8.960980E-03  2.967524E+01
     8.3000   -9.063349E-03  9.068726E-03  2.981070E+01
     8.3500   -9.246592E-03  9.306883E-03  2.995902E+01
     8.4000   -9.266508E-03  9.634585E-03  3.012244E+01
     8.4500   -8.989512E-03  1.001226E-02  3.030106E+01
     8.5000   -8.292708E-03  1.040543E-02  3.049368E+01
     8.5500   -7.110353E-03  1.082424E-02  3.069924E+01
     8.6000   -5.381282E-03  1.121157E-02  3.091530E+01
     8.6500   -3.146573E-03  1.155056E-02  3.114002E+01
     8.7000   -5.220259E-04  1.182907E-02  3.137178E+01
     8.7500    2.312274E-03  1.203891E-02  3.160919E+01
     8.8000    5.132609E-03  1.217514E-02  3.185110E+01
     8.8500    7.699161E-03  1.223547E-02  3.209651E+01
     8.9000    9.786126E-03  1.221984E-02  3.234462E+01
     8.9500    1.120989E-02  1.212999E-02  3.259472E+01
     9.0000    1.185121E-02  1.196918E-02  3.284621E+01
     9.0500    1.169700E-02  1.177404E-02  3.310118E+01
     9.1000    1.073247E-02  1.151247E-02  3.335694E+01
     9.1500    9.065840E-03  1.118957E-02  3.361302E+01
     9.2000    6.869688E-03  1.081119E-02  3.386896E+01
     9.2500    4.358722E-03  1.038375E-02  3.412433E+01
     9.3000    1.763503E-03  9.914101E-03  3.437869E+01
     9.3500   -6.960447E-04  9.409372E-03  3.463156E+01
     9.4000   -2.833846E-03  8.876867E-03  3.488245E+01
     9.4500   -4.514781E-03  8.323947E-03  3.513079E+01
     9.5000   -5.663989E-03  7.757939E-03  3.537597E+01
     9.5500   -6.283048E-03  7.189706E-03  3.562068E+01
     9.6000   -6.382094E-03  6.618026E-03  3.586050E+01
     9.6500   -6.046892E-03  6.050408E-03  3.609422E+01
     9.7000   -5.393428E-03  5.494456E-03  3.632038E+01
     9.7500   -4.549335E-03  4.957955E-03  3.653715E+01
     9.8000   -3.636264E-03  4.448986E-03  3.674236E+01
     9.8500   -2.755513E-03  3.976079E-03  3.693344E+01
     9.9000   -1.978525E-03  3.548338E-03  3.710763E+01
     9.9500   -1.342950E-03  3.175390E-03  3.726244E+01
    10.0000   -8.540922E-04  2.866879E-03  3.739660E+01
    10.0500   -4.919773E-04  2.643619E-03  3.751192E+01
    10.1000   -2.158073E-04  2.499833E-03  3.761268E+01
    10.1500    2.341755E-05  2.436016E-03  3.770873E+01
    10.2000    2.738528E-04  2.444500E-03  3.781138E+01
    10.2500    5.734422E-04  2.511136E-03  3.792950E+01
    10.3000    9.431088E-04  2.619170E-03  3.806746E+01
    10.3500    1.383265E-03  2.752843E-03  3.822558E+01
    10.4000    1.873830E-03  2.899295E-03  3.840184E+01
    10.4500    2.377420E-03  3.048955E-03  3.859338E+01
    10.5000    2.844938E-03  3.195155E-03  3.879732E+01
    10.5500    3.222561E-03  3.333525E-03  3.901117E+01
    10.6000    3.459036E-03  3.461406E-03  3.923290E+01
    10.6500    3.512319E-03  3.577389E-03  3.946093E+01
    10.7000    3.354798E-03  3.680945E-03  3.969404E+01
    10.7500    2.976678E-03  3.772144E-03  3.993133E+01
    10.8000    2.387370E-03  3.851444E-03  4.017214E+01
    10.8500    1.615012E-03  3.919524E-03  4.041601E+01
    10.9000    7.043987E-04  3.977143E-03  4.066265E+01
    10.9500   -2.863144E-04  4.025047E-03  4.091190E+01
    11.0000   -1.289800E-03  4.063882E-03  4.116367E+01
    11.0500   -2.262635E-03  4.118721E-03  4.142230E+01
