natx =     2587
    x       y        z       iph  
      8.21000      8.37791     -7.16999   3     13.74781
      3.24000      8.92791      9.98789   4     13.78271
     10.00000      9.48790      0.04001   4     13.78484
      5.38001    -12.48999      2.26001   4     13.78593
      4.58000     11.86791      5.35001   4     13.80024
     -0.95999    -12.17000     -6.46001   2     13.81166
     -6.49789     10.77792      5.75000   4     13.83649
    -11.37789     -6.96998      3.69000   3     13.84388
     -2.25789      9.94791      9.36790   3     13.84978
      1.41001    -11.96000     -6.88000   4     13.86954
    -13.30790     -0.60998     -3.86999   3     13.87261
     11.44002      6.67791     -4.22001   3     13.90240
     -6.08790      1.48002    -12.42000   4     13.91076
     12.34001     -4.12000      4.94000   4     13.91596
     -5.59789     -5.58999     11.47790   3     13.94010
     -3.67788      7.80791    -10.96000   4     13.95034
     -1.58788      0.27002     13.93790   4     14.03066
     -2.23789     11.42790     -7.91999   4     14.08302
    -14.03788     -1.11998      0.41001   4     14.08846
     -7.27790    -11.11998     -4.94999   4     14.18183
     -5.91788     -8.45998     -9.73001   4     14.18681
     13.03000     -5.55999      1.03000   4     14.20406
      6.24000     -7.69998    -10.22999   4     14.24360
      7.88000     11.86791     -0.03000   3     14.24580
     -3.79788     13.54790      2.25001   2     14.24893
     -3.95789      4.55000    -12.91999   4     14.25811
     -2.09790     -8.60998     11.17790   4     14.26459
     -7.29790      1.06002     12.22791   2     14.27952
     -2.09790     -8.60998    -11.21000   4     14.28976
     -7.27790     11.26792     -4.94999   4     14.29812
     14.26002      1.12002     -0.49000   3     14.31233
     -3.67788      7.80791     11.42790   4     14.32087
      6.60000     -4.13999     12.02790   3     14.33073
     13.35002     -0.95999      5.13001   3     14.33393
    -10.02790    -10.22999     -0.55000   4     14.33576
     13.41002     -4.28999      3.04999   2     14.40608
     12.49001      2.95001     -6.61001   3     14.43589
     -9.02790     -1.72998     11.13791   2     14.44122
     -3.03788    -14.08998      0.89999   4     14.44182
     -0.39000      6.73791    -12.78000   4     14.45268
    -12.40789     -5.19999     -5.30000   3     14.45979
      2.52000      6.98791    -12.43999   2     14.48913
     -6.49789    -11.60998      5.75000   4     14.49402
      2.80001     12.31791     -7.13999   2     14.51036
      2.40001     13.35792     -5.16001   4     14.51963
     -9.02790     -1.72998    -11.24999   2     14.52783
      3.70000    -14.06999      0.07001   3     14.54852
     -4.85788     12.32792      6.07001   2     14.57469
     -1.97790     -3.16999     14.09791   4     14.58465
     -2.43789    -13.44998     -5.19001   4     14.62127
    -10.20790     -8.94999     -5.46999   4     14.63640
     -1.48790    -14.05998      3.97000   4     14.68529
    -12.57790     -7.42998     -1.55000   2     14.69050
     13.06000     -4.39000     -5.25999   4     14.74799
      1.92001     13.57790      5.51000   3     14.77856
     10.73001     -5.82999      8.42000   4     14.83301
      4.23001     14.16791      1.23001   2     14.83697
     10.24000     -9.31999      5.37001   4     14.85116
     -7.24790    -12.55999     -3.24000   2     14.85877
     -6.06788     -0.51998    -13.55789   2     14.86290
     -3.95789     -1.30998    -14.27791   4     14.87412
    -12.69790     -7.75000      0.83001   4     14.89926
      1.74999    -14.52999     -2.82000   4     14.90421
     -5.83789      0.37000     13.76791   4     14.95905
      3.95001    -12.00999     -8.09999   4     15.01507
    -13.93790      4.96792     -2.67000   4     15.03577
      0.81002     -7.00999    -13.27791   2     15.03658
    -10.97788     10.21791     -1.36000   2     15.05886
      1.15000      3.82000    -14.56790   2     15.10425
     -1.32789      0.93002    -15.04789   2     15.13497
     -4.26790     -9.54000    -10.94999   2     15.13700
     -4.59789     -4.69998    -13.64791   4     15.14912
      2.94000     -7.57998    -12.79001   4     15.15533
     -5.40789      5.11792     13.22791   4     15.17946
      9.55001     -6.01999    -10.15000   4     15.18109
      1.07001     14.96790     -2.30000   4     15.18134
      8.38002     -1.60998     12.56790   4     15.19107
      9.75000    -10.55999     -5.01001   3     15.22091
