# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
    12.0000   -6.129107E-04  6.583203E-04  8.602020E+01 -1.140616E+01
    12.0500   -6.510775E-04  6.510971E-04  8.640157E+01 -1.143074E+01
    12.1000   -5.957349E-04  6.438740E-04  8.678294E+01 -1.145532E+01
    12.1500   -4.568331E-04  6.366508E-04  8.716431E+01 -1.147989E+01
    12.2000   -2.560354E-04  6.294277E-04  8.754567E+01 -1.150447E+01
    12.2500   -2.336073E-05  6.222045E-04  8.792704E+01 -1.152904E+01
    12.3000    2.072976E-04  6.149813E-04  8.830841E+01 -1.155362E+01
    12.3500    4.031080E-04  6.077582E-04  8.868977E+01 -1.157820E+01
    12.4000    5.369733E-04  6.005350E-04  8.907114E+01 -1.160277E+01
    12.4500    5.912752E-04  5.933118E-04  8.945251E+01 -1.162735E+01
    12.5000    5.601736E-04  5.860887E-04  8.983388E+01 -1.165192E+01
    12.5500    4.501638E-04  5.788655E-04  9.021524E+01 -1.167650E+01
    12.6000    2.788516E-04  5.716424E-04  9.059661E+01 -1.170108E+01
    12.6500    7.216593E-05  5.644192E-04  9.097798E+01 -1.172565E+01
    12.7000   -1.395564E-04  5.571960E-04  9.135934E+01 -1.175023E+01
    12.7500   -3.260210E-04  5.499729E-04  9.174071E+01 -1.177481E+01
    12.8000   -4.613105E-04  5.427497E-04  9.212208E+01 -1.179938E+01
    12.8500   -5.274830E-04  5.355266E-04  9.250345E+01 -1.182396E+01
    12.9000   -5.169349E-04  5.283034E-04  9.288481E+01 -1.184853E+01
    12.9500   -4.332195E-04  5.210802E-04  9.326618E+01 -1.187311E+01
    13.0000   -2.902442E-04  5.138571E-04  9.364755E+01 -1.189769E+01
    13.0500   -1.092935E-04  5.085606E-04  9.403118E+01 -1.191999E+01
    13.1000    8.367404E-05  5.032642E-04  9.441482E+01 -1.194230E+01
    13.1500    2.605674E-04  4.979678E-04  9.479845E+01 -1.196461E+01
    13.2000    3.962008E-04  4.926714E-04  9.518209E+01 -1.198692E+01
    13.2500    4.718779E-04  4.873750E-04  9.556572E+01 -1.200922E+01
    13.3000    4.779616E-04  4.820785E-04  9.594936E+01 -1.203153E+01
    13.3500    4.150763E-04  4.767821E-04  9.633300E+01 -1.205384E+01
    13.4000    2.937981E-04  4.714857E-04  9.671663E+01 -1.207615E+01
