# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     5.1500   -8.203654E-05  2.162062E-04  4.359311E+01 -4.151989E+00
     5.2000    6.799722E-07  2.057399E-04  4.398560E+01 -4.223042E+00
     5.2500    7.577910E-05  1.964927E-04  4.437822E+01 -4.293970E+00
     5.3000    1.328177E-04  1.872456E-04  4.477084E+01 -4.364898E+00
     5.3500    1.646565E-04  1.779984E-04  4.516345E+01 -4.435827E+00
     5.4000    1.687505E-04  1.687512E-04  4.555607E+01 -4.506755E+00
     5.4500    1.486458E-04  1.609374E-04  4.594646E+01 -4.579910E+00
     5.5000    1.084526E-04  1.531235E-04  4.633685E+01 -4.653065E+00
     5.5500    5.613809E-05  1.453097E-04  4.672724E+01 -4.726221E+00
     5.6000    8.613372E-07  1.374958E-04  4.711763E+01 -4.799376E+00
     5.6500   -4.885106E-05  1.309249E-04  4.750626E+01 -4.874284E+00
     5.7000   -8.665731E-05  1.243540E-04  4.789490E+01 -4.949191E+00
     5.7500   -1.079673E-04  1.177832E-04  4.828354E+01 -5.024099E+00
     5.8000   -1.111841E-04  1.112123E-04  4.867217E+01 -5.099007E+00
     5.8500   -9.877554E-05  1.057568E-04  4.906007E+01 -5.174658E+00
     5.9000   -7.316505E-05  1.003013E-04  4.944796E+01 -5.250308E+00
     5.9500   -3.950635E-05  9.484576E-05  4.983585E+01 -5.325959E+00
     6.0000   -3.729545E-06  8.939025E-05  5.022375E+01 -5.401610E+00
     6.0500    2.913895E-05  8.568188E-05  5.061249E+01 -5.476415E+00
     6.1000    5.501564E-05  8.197351E-05  5.100123E+01 -5.551221E+00
     6.1500    7.059867E-05  7.826513E-05  5.138997E+01 -5.626026E+00
     6.2000    7.443323E-05  7.455676E-05  5.177871E+01 -5.700831E+00
     6.2500    6.699875E-05  7.084839E-05  5.216745E+01 -5.775637E+00
     6.3000    5.048042E-05  6.714002E-05  5.255618E+01 -5.850442E+00
     6.3500    2.828256E-05  6.343165E-05  5.294492E+01 -5.925247E+00
     6.4000    4.380453E-06  5.972327E-05  5.333366E+01 -6.000052E+00
     6.4500   -1.737179E-05  5.601490E-05  5.372240E+01 -6.074858E+00
     6.5000   -3.385922E-05  5.230653E-05  5.411114E+01 -6.149663E+00
     6.5500   -4.466156E-05  5.011394E-05  5.450706E+01 -6.217290E+00
     6.6000   -4.778702E-05  4.792136E-05  5.490298E+01 -6.284918E+00
     6.6500   -4.339264E-05  4.572878E-05  5.529889E+01 -6.352545E+00
     6.7000   -3.281845E-05  4.353619E-05  5.569481E+01 -6.420172E+00
     6.7500   -1.827803E-05  4.134361E-05  5.609073E+01 -6.487800E+00
     6.8000   -2.426660E-06  3.915103E-05  5.648665E+01 -6.555427E+00
     6.8500    1.211224E-05  3.695844E-05  5.688256E+01 -6.623054E+00
     6.9000    2.317945E-05  3.476586E-05  5.727848E+01 -6.690682E+00
     6.9500    2.940006E-05  3.257328E-05  5.767440E+01 -6.758309E+00
     7.0000    3.034401E-05  3.038069E-05  5.807032E+01 -6.825936E+00
     7.0500    2.717055E-05  2.899550E-05  5.847614E+01 -6.883652E+00
     7.1000    1.996515E-05  2.761031E-05  5.888197E+01 -6.941367E+00
     7.1500    1.027187E-05  2.622512E-05  5.928780E+01 -6.999082E+00
     7.2000   -8.375829E-08  2.483993E-05  5.969363E+01 -7.056798E+00
     7.2500   -9.332091E-06  2.345474E-05  6.009946E+01 -7.114513E+00
     7.3000   -1.606103E-05  2.206954E-05  6.050529E+01 -7.172229E+00
     7.3500   -1.943077E-05  2.068435E-05  6.091112E+01 -7.229944E+00
     7.4000   -1.926902E-05  1.929916E-05  6.131695E+01 -7.287659E+00
     7.4500   -1.603814E-05  1.791397E-05  6.172278E+01 -7.345375E+00
     7.5000   -1.068910E-05  1.652878E-05  6.212861E+01 -7.403090E+00
     7.5500   -4.438726E-06  1.579207E-05  6.254694E+01 -7.448302E+00
     7.6000    2.002745E-06  1.505536E-05  6.296527E+01 -7.493513E+00
     7.6500    7.505572E-06  1.431865E-05  6.338361E+01 -7.538725E+00
     7.7000    1.120421E-05  1.358194E-05  6.380194E+01 -7.583937E+00
     7.7500    1.263220E-05  1.284523E-05  6.422027E+01 -7.629149E+00
     7.8000    1.177301E-05  1.210852E-05  6.463861E+01 -7.674360E+00
     7.8500    9.023311E-06  1.137181E-05  6.505694E+01 -7.719572E+00
     7.9000    5.081688E-06  1.063510E-05  6.547527E+01 -7.764784E+00
     7.9500    7.894592E-07  9.898389E-06  6.589360E+01 -7.809995E+00
     8.0000   -3.042272E-06  9.161680E-06  6.631194E+01 -7.855207E+00
     8.0500   -6.135984E-06  8.870915E-06  6.673728E+01 -7.893408E+00
     8.1000   -7.962927E-06  8.580149E-06  6.716263E+01 -7.931608E+00
     8.1500   -8.281460E-06  8.289384E-06  6.758797E+01 -7.969809E+00
     8.2000   -7.134672E-06  7.998618E-06  6.801331E+01 -8.008009E+00
     8.2500   -4.824916E-06  7.707852E-06  6.843866E+01 -8.046210E+00
     8.3000   -1.842460E-06  7.417087E-06  6.886400E+01 -8.084410E+00
     8.3500    1.235896E-06  7.126321E-06  6.928935E+01 -8.122611E+00
     8.4000    3.857684E-06  6.835555E-06  6.971469E+01 -8.160811E+00
     8.4500    5.593913E-06  6.544790E-06  7.014004E+01 -8.199011E+00
     8.5000    6.208707E-06  6.254024E-06  7.056538E+01 -8.237212E+00
     8.5500    5.855341E-06  6.123001E-06  7.098260E+01 -8.283532E+00
     8.6000    4.528452E-06  5.991978E-06  7.139983E+01 -8.329852E+00
     8.6500    2.494173E-06  5.860955E-06  7.181705E+01 -8.376172E+00
     8.7000    1.280718E-07  5.729933E-06  7.223428E+01 -8.422492E+00
     8.7500   -2.153842E-06  5.598910E-06  7.265150E+01 -8.468812E+00
     8.8000   -3.968214E-06  5.467887E-06  7.306873E+01 -8.515132E+00
     8.8500   -5.028722E-06  5.336865E-06  7.348595E+01 -8.561452E+00
     8.9000   -5.190914E-06  5.205842E-06  7.390318E+01 -8.607772E+00
     8.9500   -4.470558E-06  5.074819E-06  7.432040E+01 -8.654092E+00
     9.0000   -3.033460E-06  4.943797E-06  7.473763E+01 -8.700412E+00
     9.0500   -1.157167E-06  4.839709E-06  7.515679E+01 -8.744796E+00
     9.1000    8.372080E-07  4.735622E-06  7.557595E+01 -8.789180E+00
     9.1500    2.603239E-06  4.631535E-06  7.599511E+01 -8.833564E+00
     9.2000    3.848473E-06  4.527447E-06  7.641427E+01 -8.877948E+00
     9.2500    4.382761E-06  4.423360E-06  7.683343E+01 -8.922331E+00
     9.3000    4.146772E-06  4.319273E-06  7.725259E+01 -8.966715E+00
     9.3500    3.216523E-06  4.215185E-06  7.767175E+01 -9.011099E+00
     9.4000    1.784129E-06  4.111098E-06  7.809091E+01 -9.055483E+00
     9.4500    1.191655E-07  4.007010E-06  7.851007E+01 -9.099867E+00
     9.5000   -1.481742E-06  3.902923E-06  7.892923E+01 -9.144251E+00
     9.5500   -2.766167E-06  3.829319E-06  7.934703E+01 -9.189996E+00
     9.6000   -3.533419E-06  3.755715E-06  7.976483E+01 -9.235741E+00
     9.6500   -3.672566E-06  3.682111E-06  8.018263E+01 -9.281486E+00
     9.7000   -3.184212E-06  3.608508E-06  8.060043E+01 -9.327231E+00
     9.7500   -2.176172E-06  3.534904E-06  8.101823E+01 -9.372976E+00
     9.8000   -8.408307E-07  3.461300E-06  8.143603E+01 -9.418722E+00
     9.8500    5.812205E-07  3.387696E-06  8.185383E+01 -9.464467E+00
     9.9000    1.844439E-06  3.314092E-06  8.227163E+01 -9.510212E+00
     9.9500    2.740731E-06  3.240488E-06  8.268943E+01 -9.555957E+00
    10.0000    3.133662E-06  3.166884E-06  8.310723E+01 -9.601702E+00
    10.0500    3.006288E-06  3.117254E-06  8.351983E+01 -9.652649E+00
    10.1000    2.384878E-06  3.067623E-06  8.393242E+01 -9.703596E+00
    10.1500    1.388236E-06  3.017992E-06  8.434502E+01 -9.754543E+00
    10.2000    1.939409E-07  2.968361E-06  8.475762E+01 -9.805490E+00
    10.2500   -9.931864E-07  2.918730E-06  8.517022E+01 -9.856437E+00
    10.3000   -1.976194E-06  2.869099E-06  8.558281E+01 -9.907384E+00
    10.3500   -2.598671E-06  2.819468E-06  8.599541E+01 -9.958331E+00
    10.4000   -2.769557E-06  2.769837E-06  8.640801E+01 -1.000928E+01
    10.4500   -2.476180E-06  2.720206E-06  8.682061E+01 -1.006023E+01
    10.5000   -1.783689E-06  2.670575E-06  8.723320E+01 -1.011117E+01
