# # xx                                                           FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# # Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# # Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# # Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# # Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.2463
#           2       0.00000     91.60      1.00     2   2.3355
#           3       0.00000     86.95      1.00     2   2.3891
#           4       0.00000     84.35      1.00     2   2.4208
#           5       0.00000     29.01      1.00     2   3.7168
#           6       0.00000     26.68      1.00     2   3.8394
#           7       0.00000     12.65      2.00     3   4.0191
#           8       0.00000     12.79      2.00     3   4.0234
#           9       0.00000     23.41      1.00     2   4.0357
#          10       0.00000     22.73      1.00     2   4.0594
#          11       0.00000     15.65      1.00     2   4.1582
#          12       0.00000     13.28      2.00     3   4.2204
#          13       0.00000      9.77      2.00     3   4.2360
#          14       0.00000     17.79      1.00     2   4.4385
#          15       0.00000     10.96      2.00     3   4.4404
#          16       0.00000     17.83      1.00     2   4.4634
#          17       0.00000     19.38      2.00     3   4.4658
#          18       0.00000     11.46      2.00     3   4.4787
#          19       0.00000     13.41      1.00     4   4.4926
#          20       0.00000     12.43      2.00     3   4.5004
#          21       0.00000      9.41      2.00     3   4.5398
#          22       0.00000      6.75      2.00     4   4.5818
#          23       0.00000     12.58      2.00     3   4.6188
#          24       0.00000      4.14      2.00     4   4.6354
#          25       0.00000     14.04      2.00     4   4.6671
#          26       0.00000     10.83      1.00     4   4.6710
#          27       0.00000      9.18      2.00     3   4.7524
#          29       0.00000      9.56      1.00     4   4.7783
#          31       0.00000      5.58      2.00     4   4.8099
#          32       0.00000      8.90      1.00     4   4.8416
#          33       0.00000     10.38      2.00     3   4.9811
#    31/  33 paths used
#  xsedge+50, used to normalize mu           2.6113E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8502.329    158.840   6.600  9.80176E-01  1.00422E+00 -2.39020E-02
    8504.853    161.364   6.650  9.80859E-01  1.00441E+00 -2.33969E-02
    8507.396    163.907   6.700  9.81840E-01  1.00459E+00 -2.25953E-02
    8509.959    166.469   6.750  9.83030E-01  1.00477E+00 -2.15874E-02
    8512.540    169.050   6.800  9.84440E-01  1.00495E+00 -2.03610E-02
    8515.140    171.651   6.850  9.86166E-01  1.00513E+00 -1.88225E-02
    8517.760    174.270   6.900  9.88345E-01  1.00531E+00 -1.68344E-02
    8520.398    176.908   6.950  9.91115E-01  1.00549E+00 -1.42619E-02
    8523.055    179.566   7.000  9.94563E-01  1.00567E+00 -1.10183E-02
    8525.732    182.242   7.050  9.98640E-01  1.00572E+00 -7.01790E-03
    8528.428    184.938   7.100  1.00332E+00  1.00576E+00 -2.41566E-03
    8531.142    187.653   7.150  1.00840E+00  1.00580E+00  2.57299E-03
    8533.876    190.386   7.200  1.01355E+00  1.00584E+00  7.63855E-03
    8536.629    193.139   7.250  1.01841E+00  1.00589E+00  1.24133E-02
    8539.400    195.911   7.300  1.02259E+00  1.00593E+00  1.65198E-02
    8542.191    198.701   7.350  1.02577E+00  1.00597E+00  1.96223E-02
    8545.001    201.511   7.400  1.02768E+00  1.00601E+00  2.14746E-02
    8547.830    204.340   7.450  1.02821E+00  1.00606E+00  2.19535E-02
    8550.678    207.188   7.500  1.02736E+00  1.00610E+00  2.10747E-02
    8553.545    210.055   7.550  1.02438E+00  1.00522E+00  1.90077E-02
    8556.431    212.941   7.600  1.02039E+00  1.00434E+00  1.59408E-02
    8559.336    215.846   7.650  1.01574E+00  1.00346E+00  1.22136E-02
    8562.260    218.771   7.700  1.01082E+00  1.00257E+00  8.20047E-03
    8565.203    221.714   7.750  1.00597E+00  1.00169E+00  4.25988E-03
    8568.166    224.676   7.800  1.00151E+00  1.00081E+00  6.90719E-04
    8571.147    227.657   7.850  9.97628E-01  9.99932E-01 -2.29957E-03
    8574.147    230.658   7.900  9.94437E-01  9.99050E-01 -4.60997E-03
    8577.167    233.677   7.950  9.91927E-01  9.98169E-01 -6.24318E-03
    8580.205    236.716   8.000  9.90010E-01  9.97288E-01 -7.28688E-03
    8583.263    239.773   8.050  9.87866E-01  9.95758E-01 -7.91447E-03
    8586.339    242.850   8.100  9.86013E-01  9.94227E-01 -8.25071E-03
    8589.435    245.945   8.150  9.84299E-01  9.92696E-01 -8.44878E-03
    8592.550    249.060   8.200  9.82609E-01  9.91166E-01 -8.62373E-03
    8595.683    252.194   8.250  9.80886E-01  9.89635E-01 -8.83197E-03
    8598.836    255.346   8.300  9.79141E-01  9.88105E-01 -9.06335E-03
    8602.008    258.518   8.350  9.77444E-01  9.86574E-01 -9.24659E-03
    8605.199    261.709   8.400  9.75909E-01  9.85044E-01 -9.26651E-03
    8608.409    264.919   8.450  9.74666E-01  9.83513E-01 -8.98951E-03
    8611.638    268.148   8.500  9.73834E-01  9.81982E-01 -8.29271E-03
    8614.886    271.396   8.550  9.73553E-01  9.80529E-01 -7.11035E-03
    8618.153    274.663   8.600  9.73803E-01  9.79075E-01 -5.38128E-03
    8621.439    277.949   8.650  9.74543E-01  9.77621E-01 -3.14657E-03
    8624.744    281.254   8.700  9.75658E-01  9.76168E-01 -5.22026E-04
    8628.068    284.579   8.750  9.76969E-01  9.74714E-01  2.31227E-03
    8631.411    287.922   8.800  9.78258E-01  9.73260E-01  5.13261E-03
    8634.774    291.284   8.850  9.79292E-01  9.71806E-01  7.69916E-03
    8638.155    294.665   8.900  9.79853E-01  9.70353E-01  9.78613E-03
    8641.556    298.066   8.950  9.79765E-01  9.68899E-01  1.12099E-02
    8644.975    301.485   9.000  9.78915E-01  9.67445E-01  1.18512E-02
    8648.413    304.924   9.050  9.77845E-01  9.66535E-01  1.16970E-02
