# 2Theta    Intensity
1.6129e+00  1.4167e+01
1.6189e+00  1.4245e+01
1.6249e+00  1.4220e+01
1.6309e+00  1.4130e+01
1.6369e+00  1.4242e+01
1.6429e+00  1.4201e+01
1.6489e+00  1.4246e+01
1.6549e+00  1.4268e+01
1.6609e+00  1.4256e+01
1.6669e+00  1.4212e+01
1.6729e+00  1.4185e+01
1.6790e+00  1.4335e+01
1.6850e+00  1.4277e+01
1.6910e+00  1.4198e+01
1.6970e+00  1.4250e+01
1.7030e+00  1.4288e+01
1.7090e+00  1.4169e+01
1.7150e+00  1.4218e+01
1.7210e+00  1.4239e+01
1.7270e+00  1.4228e+01
1.7330e+00  1.4253e+01
1.7390e+00  1.4253e+01
1.7450e+00  1.4268e+01
1.7510e+00  1.4240e+01
1.7570e+00  1.4325e+01
1.7630e+00  1.4232e+01
1.7690e+00  1.4260e+01
1.7750e+00  1.4292e+01
1.7810e+00  1.4230e+01
1.7871e+00  1.4238e+01
1.7931e+00  1.4231e+01
1.7991e+00  1.4219e+01
1.8051e+00  1.4242e+01
1.8111e+00  1.4196e+01
1.8171e+00  1.4207e+01
1.8231e+00  1.4191e+01
1.8291e+00  1.4206e+01
1.8351e+00  1.4142e+01
1.8411e+00  1.4311e+01
1.8471e+00  1.4133e+01
1.8531e+00  1.4196e+01
1.8591e+00  1.4118e+01
1.8651e+00  1.4214e+01
1.8711e+00  1.4152e+01
1.8771e+00  1.4118e+01
1.8831e+00  1.4174e+01
1.8891e+00  1.4197e+01
1.8951e+00  1.4156e+01
1.9011e+00  1.4183e+01
1.9072e+00  1.4231e+01
1.9132e+00  1.4161e+01
1.9192e+00  1.4096e+01
1.9252e+00  1.4150e+01
1.9312e+00  1.4126e+01
1.9372e+00  1.4083e+01
1.9432e+00  1.4117e+01
1.9492e+00  1.4081e+01
1.9552e+00  1.4107e+01
1.9612e+00  1.4112e+01
1.9672e+00  1.4054e+01
1.9732e+00  1.4046e+01
1.9792e+00  1.4024e+01
1.9852e+00  1.4065e+01
1.9912e+00  1.4074e+01
1.9972e+00  1.4037e+01
2.0032e+00  1.3972e+01
2.0092e+00  1.3983e+01
2.0152e+00  1.3987e+01
2.0212e+00  1.3916e+01
2.0272e+00  1.4056e+01
2.0332e+00  1.3967e+01
2.0392e+00  1.4005e+01
2.0453e+00  1.3973e+01
2.0513e+00  1.3985e+01
2.0573e+00  1.3938e+01
2.0633e+00  1.3914e+01
2.0693e+00  1.4008e+01
2.0753e+00  1.3943e+01
2.0813e+00  1.3902e+01
2.0873e+00  1.3887e+01
2.0933e+00  1.3903e+01
2.0993e+00  1.3828e+01
2.1053e+00  1.3855e+01
2.1113e+00  1.3810e+01
2.1173e+00  1.3818e+01
2.1233e+00  1.3881e+01
2.1293e+00  1.3891e+01
2.1353e+00  1.3850e+01
2.1413e+00  1.3842e+01
2.1473e+00  1.3838e+01
2.1533e+00  1.3742e+01
2.1593e+00  1.3722e+01
2.1653e+00  1.3773e+01
2.1713e+00  1.3791e+01
2.1773e+00  1.3847e+01
2.1833e+00  1.3769e+01
2.1893e+00  1.3800e+01
2.1953e+00  1.3723e+01
2.2013e+00  1.3703e+01
2.2073e+00  1.3735e+01
2.2133e+00  1.3705e+01
2.2193e+00  1.3699e+01
2.2254e+00  1.3753e+01
2.2314e+00  1.3715e+01
2.2374e+00  1.3679e+01
2.2434e+00  1.3694e+01
2.2494e+00  1.3704e+01
2.2554e+00  1.3738e+01
2.2614e+00  1.3646e+01
2.2674e+00  1.3670e+01
2.2734e+00  1.3650e+01
2.2794e+00  1.3671e+01
2.2854e+00  1.3679e+01
2.2914e+00  1.3704e+01
2.2974e+00  1.3650e+01
2.3034e+00  1.3714e+01
2.3094e+00  1.3591e+01
2.3154e+00  1.3566e+01
2.3214e+00  1.3604e+01
2.3274e+00  1.3636e+01
2.3334e+00  1.3631e+01
2.3394e+00  1.3601e+01
2.3454e+00  1.3634e+01
2.3514e+00  1.3636e+01
2.3574e+00  1.3631e+01
2.3634e+00  1.3572e+01
2.3694e+00  1.3552e+01
2.3754e+00  1.3628e+01
2.3814e+00  1.3559e+01
2.3874e+00  1.3516e+01
2.3934e+00  1.3546e+01
2.3994e+00  1.3541e+01
2.4054e+00  1.3594e+01
2.4114e+00  1.3567e+01
2.4174e+00  1.3578e+01
2.4234e+00  1.3495e+01
2.4294e+00  1.3502e+01
2.4354e+00  1.3563e+01
2.4414e+00  1.3554e+01
2.4474e+00  1.3469e+01
2.4534e+00  1.3446e+01
2.4594e+00  1.3548e+01
2.4654e+00  1.3557e+01
2.4714e+00  1.3510e+01
2.4774e+00  1.3542e+01
2.4834e+00  1.3396e+01
2.4894e+00  1.3426e+01
2.4954e+00  1.3525e+01
2.5014e+00  1.3523e+01
2.5074e+00  1.3508e+01
2.5134e+00  1.3462e+01
2.5194e+00  1.3496e+01
2.5254e+00  1.3467e+01
2.5314e+00  1.3416e+01
2.5374e+00  1.3512e+01
2.5434e+00  1.3501e+01
2.5494e+00  1.3469e+01
2.5554e+00  1.2684e+01
2.5614e+00  1.3422e+01
2.5674e+00  1.3481e+01
2.5734e+00  1.3410e+01
2.5794e+00  1.3478e+01
2.5854e+00  1.3436e+01
2.5914e+00  1.3406e+01
2.5974e+00  1.3448e+01
2.6034e+00  1.3445e+01
2.6094e+00  1.3411e+01
2.6154e+00  1.3465e+01
2.6214e+00  1.3432e+01
2.6275e+00  1.3428e+01
2.6335e+00  1.3357e+01
2.6395e+00  1.3404e+01
2.6455e+00  1.3412e+01
2.6515e+00  1.3457e+01
2.6575e+00  1.3384e+01
2.6635e+00  1.3320e+01
2.6695e+00  1.3384e+01
2.6754e+00  1.3391e+01
2.6814e+00  1.3381e+01
2.6874e+00  1.3394e+01
2.6934e+00  1.3360e+01
2.6994e+00  1.3388e+01
2.7054e+00  1.3405e+01
2.7114e+00  1.3334e+01
2.7174e+00  1.3401e+01
2.7234e+00  1.3374e+01
2.7294e+00  1.3341e+01
2.7354e+00  1.3359e+01
2.7414e+00  1.3397e+01
2.7474e+00  1.3372e+01
2.7534e+00  1.3378e+01
2.7594e+00  1.3359e+01
2.7654e+00  1.3387e+01
2.7714e+00  1.3392e+01
2.7774e+00  1.3377e+01
2.7834e+00  1.3368e+01
2.7894e+00  1.3350e+01
2.7954e+00  1.3354e+01
2.8014e+00  1.3372e+01
2.8074e+00  1.3327e+01
2.8134e+00  1.3396e+01
2.8194e+00  1.3339e+01
2.8254e+00  1.3337e+01
2.8314e+00  1.3320e+01
2.8374e+00  1.3330e+01
2.8434e+00  1.3339e+01
2.8494e+00  1.3357e+01
2.8554e+00  1.3345e+01
2.8614e+00  1.3338e+01
2.8674e+00  1.3406e+01
2.8734e+00  1.3363e+01
2.8794e+00  1.3375e+01
2.8854e+00  1.3406e+01
2.8914e+00  1.3383e+01
2.8974e+00  1.3388e+01
2.9034e+00  1.3395e+01
2.9094e+00  1.3444e+01
2.9154e+00  1.3351e+01
2.9214e+00  1.3380e+01
2.9274e+00  1.3386e+01
2.9334e+00  1.3426e+01
2.9394e+00  1.3410e+01
2.9454e+00  1.3424e+01
2.9514e+00  1.3406e+01
2.9574e+00  1.3371e+01
2.9634e+00  1.3399e+01
2.9694e+00  1.3387e+01
2.9754e+00  1.3382e+01
2.9814e+00  1.3368e+01
2.9874e+00  1.3331e+01
2.9934e+00  1.3385e+01
2.9994e+00  1.3341e+01
3.0054e+00  1.3393e+01
3.0113e+00  1.3347e+01
3.0173e+00  1.3348e+01
3.0233e+00  1.3351e+01
3.0293e+00  1.3394e+01
3.0353e+00  1.3389e+01
3.0413e+00  1.3371e+01
3.0473e+00  1.3410e+01
3.0533e+00  1.3398e+01
3.0593e+00  1.3340e+01
3.0653e+00  1.3347e+01
3.0713e+00  1.3430e+01
3.0773e+00  1.3349e+01
3.0833e+00  1.3416e+01
3.0893e+00  1.3408e+01
3.0953e+00  1.3457e+01
3.1013e+00  1.3390e+01
3.1073e+00  1.3455e+01
3.1133e+00  1.3490e+01
3.1193e+00  1.3447e+01
3.1253e+00  1.3555e+01
3.1313e+00  1.3551e+01
3.1373e+00  1.3545e+01
3.1433e+00  1.3556e+01
