radial;intensity
4.971511;28.04447
4.980271;27.94848
4.989032;28.2807
4.997792;38.5842
5.006552;121.0373
5.015313;169.8219
5.024073;77.08259
5.032833;30.02176
5.041594;27.69247
5.050354;27.22982
5.059114;27.07622
5.067875;27.03335
5.076635;26.83566
5.085396;26.70299
5.094156;26.76901
5.102916;26.62965
5.111677;26.49326
5.120437;26.32196
5.129197;26.25106
5.137958;26.26224
5.146718;26.30184
5.155479;26.36885
5.164239;26.43372
5.172999;26.60855
5.18176;26.53366
5.19052;26.53583
5.19928;26.53336
5.208041;26.47396
5.216801;27.02993
5.225562;34.59993
5.234322;50.05811
5.243082;44.6096
5.251843;29.17089
5.260603;26.58235
5.269363;26.3247
5.278124;26.2614
5.286884;26.19989
5.295645;26.02132
5.304405;25.91719
5.313165;25.82509
5.321926;25.76221
5.330686;25.79857
5.339446;25.80485
5.348207;25.80232
5.356967;25.76595
5.365727;25.74365
5.374488;25.73673
5.383248;25.77003
5.392009;25.86176
5.400769;25.97183
5.409529;26.05649
5.41829;26.18605
5.42705;26.96667
5.43581;36.8493
5.444571;90.35311
5.453331;107.3837
5.462092;52.63569
5.470852;27.73943
5.479612;26.69423
5.488373;26.89809
5.497133;26.89956
5.505893;26.40195
5.514654;25.77999
5.523414;25.44233
5.532175;25.34681
5.540935;25.32007
5.549695;25.26353
5.558456;25.29408
5.567216;25.30865
5.575976;25.3784
5.584737;25.52012
5.593497;25.50286
5.602258;25.6331
5.611018;25.89819
5.619778;26.24647
5.628539;26.98501
5.637299;32.12996
5.646059;97.17454
5.65482;194.0513
5.66358;147.0119
5.67234;41.3237
5.681101;27.37669
5.689861;26.32412
5.698622;25.97786
5.707382;25.80462
5.716142;25.78642
5.724903;25.90383
5.733663;25.96683
5.742423;26.12425
5.751184;25.86547
5.759944;25.59569
5.768705;25.40571
5.777465;25.36788
5.786225;25.31244
5.794986;25.25596
5.803746;25.32986
5.812506;25.29126
5.821267;25.2598
5.830027;25.22892
5.838788;25.07926
5.847548;24.99665
5.856308;24.94994
5.865069;24.95902
5.873829;24.87764
5.882589;24.8945
5.89135;24.94234
5.90011;24.79696
5.908871;24.87397
5.917631;24.8936
5.926391;24.89938
5.935152;24.90511
5.943912;24.95194
5.952672;25.06013
5.961433;25.15336
5.970193;25.37963
5.978953;25.4412
5.987714;25.35707
5.996474;25.24568
6.005235;25.27434
6.013995;25.49813
6.022755;25.98884
6.031516;28.94162
6.040276;46.06211
6.049036;53.54482
6.057797;38.59663
6.066557;26.63063
6.075318;26.06618
6.084078;25.83155
6.092838;25.55706
6.101599;25.45051
6.110359;25.39433
6.119119;25.37597
6.12788;25.38653
6.13664;25.43017
6.145401;25.45471
6.154161;25.59074
6.162921;25.64547
6.171682;25.89562
6.180442;26.24352
6.189202;27.111
6.197963;27.97991
6.206723;28.5605
6.215484;34.73163
6.224244;95.39441
6.233004;150.3024
6.241765;111.7505
6.250525;36.75048
6.259285;27.16873
6.268046;26.37484
6.276806;26.05468
6.285566;25.89115
6.294327;25.86758
6.303087;25.75942
6.311848;25.61956
6.320608;25.66942
6.329368;25.59771
6.338129;25.69263
6.346889;25.72362
6.355649;25.81437
6.36441;25.82697
6.37317;26.03924
6.381931;26.25054
6.390691;27.26078
6.399451;42.64161
6.408212;104.6067
6.416972;122.6864
6.425732;69.18929
6.434493;29.25421
6.443253;26.5586
6.452014;26.13671
6.460774;25.8603
6.469534;25.72038
6.478295;25.69744
6.487055;25.65621
6.495815;25.60177
6.504576;25.48187
6.513336;25.49673
6.522097;25.6142
6.530857;25.58084
6.539617;25.59541
6.548378;25.65992
6.557138;25.9054
6.565898;26.28257
6.574659;31.56859
6.583419;54.91209
6.592179;64.07198
6.60094;46.27919
6.6097;28.16401
6.618461;26.6479
6.627221;26.53776
6.635981;26.28302
6.644742;26.03281
6.653502;25.91757
6.662262;25.81186
6.671023;25.71528
6.679783;25.75437
6.688544;25.71701
6.697304;25.79335
6.706064;25.86268
6.714825;25.89198
6.723585;26.04138
6.732345;26.27478
6.741106;27.81901
6.749866;46.42048
6.758627;76.21862
6.767387;73.2662
6.776147;38.72743
6.784908;27.05672
6.793668;26.3988
6.802428;26.18881
6.811189;26.30515
6.819949;26.4986
6.82871;26.63361
6.83747;26.62567
6.84623;26.52617
6.854991;26.43591
6.863751;26.43096
6.872511;26.54238
6.881272;26.62295
6.890032;26.86967
6.898792;27.3324
6.907553;29.89971
6.916313;61.91549
6.925074;118.9699
6.933834;119.7964
6.942594;58.2902
6.951355;29.1399
6.960115;27.27452
6.968875;26.78731
6.977636;26.56631
6.986396;26.43935
6.995157;26.39338
7.003917;26.35003
7.012677;26.44842
7.021438;26.73931
7.030198;26.96509
7.038958;26.92662
7.047719;26.70372
7.056479;26.54119
7.06524;26.79171
7.074;30.17909
7.08276;53.96206
7.091521;71.64553
7.100281;61.85832
7.109041;33.10627
7.117802;27.11793
7.126562;26.72417
7.135323;26.51447
7.144083;26.35641
7.152843;26.2417
7.161604;26.08375
7.170364;26.04616
7.179124;26.02039
7.187885;26.03418
7.196645;26.01724
7.205405;26.22467
7.214166;26.3337
7.222926;26.30082
7.231687;26.3335
7.240447;26.25691
7.249207;26.09807
7.257968;26.08381
7.266728;26.09433
7.275488;26.10646
7.284249;26.0682
7.293009;26.15652
7.30177;26.13887
7.31053;26.22761
7.31929;26.15846
7.328051;26.18544
7.336811;26.13867
7.345571;26.21343
7.354332;26.19406
7.363092;26.30637
7.371853;26.39824
7.380613;26.68228
7.389373;28.66193
7.398134;40.87642
7.406894;50.57262
7.415654;47.10625
7.424415;31.65522
7.433175;27.22018
7.441936;26.82176
7.450696;26.56396
7.459456;26.51849
7.468217;26.57493
7.476977;26.55247
7.485737;26.51362
7.494498;26.54337
7.503258;26.70253
7.512018;26.71208
7.520779;26.7826
7.529539;26.92688
7.5383;27.52124
7.54706;34.17232
7.55582;48.27502
7.564581;50.97438
7.573341;39.40707
7.582101;28.70292
7.590862;27.76117
7.599622;27.67213
7.608383;27.47388
7.617143;27.3098
7.625903;27.12355
7.634664;27.08128
7.643424;27.1728
7.652184;27.31348
7.660945;27.43824
7.669705;27.6247
7.678466;27.94232
7.687226;29.67957
7.695986;50.44967
7.704747;103.9762
7.713507;118.2223
7.722267;83.03979
7.731028;34.5486
7.739788;28.50284
7.748549;27.91394
7.757309;27.74673
7.766069;27.7794
7.77483;27.79853
7.78359;27.68855
7.79235;27.55614
7.801111;27.46619
7.809871;27.49949
7.818631;27.57014
7.827392;27.85697
7.836152;28.97194
7.844913;42.38176
7.853673;64.08636
7.862433;66.48542
7.871194;46.68583
7.879954;29.42149
7.888714;27.74392
7.897475;27.41147
7.906235;27.25479
7.914996;27.37211
7.923756;27.33893
7.932516;27.38247
7.941277;27.51802
7.950037;27.43073
7.958797;27.54815
7.967558;27.45784
7.976318;27.54919
7.985079;27.53278
7.993839;27.62026
8.002599;27.59737
8.01136;27.52205
8.02012;27.58742
8.02888;27.636
8.037641;27.74443
8.046401;27.81096
8.055162;27.87333
8.063922;27.96664
8.072682;27.98915
8.081443;28.07506
8.090203;28.21868
8.098963;28.44663
8.107724;28.88854
8.116484;29.84932
8.125244;36.93067
8.134005;72.50214
8.142765;95.52892
8.151526;88.03029
8.160286;46.20015
8.169046;30.06842
8.177807;28.87584
8.186567;28.66152
8.195327;28.61769
8.204088;28.49054
8.212848;28.44656
8.221609;28.50228
8.230369;28.37956
8.239129;28.60076
8.24789;28.63124
8.25665;28.97264
8.26541;32.425
8.274171;46.13881
8.282931;53.14254
8.291692;49.62451
8.300452;34.22369
8.309212;29.16412
8.317973;28.79732
8.326733;28.56417
8.335493;28.6256
8.344254;28.49662
8.353014;28.49111
8.361774;28.54202
8.370535;28.50393
8.379295;28.57361
8.388056;28.52982
8.396816;28.53528
8.405576;28.68353
8.414337;28.8594
8.423097;28.878
8.431857;29.03505
8.440618;29.19993
8.449378;29.52127
8.458139;29.5945
8.466899;29.28018
8.475659;29.19897
8.48442;28.95383
8.49318;28.91963
8.50194;28.8219
8.510701;28.87825
8.519461;28.83231
8.528222;29.11373
8.536982;30.91477
8.545742;37.69621
8.554503;41.3333
8.563263;39.69242
8.572023;32.07409
8.580784;29.33171
8.589544;29.12273
8.598305;29.00358
8.607065;29.20412
8.615825;29.21255
8.624586;29.34641
8.633346;29.37096
8.642106;29.28182
8.650867;29.36713
8.659627;29.82188
8.668387;34.80565
8.677148;56.66066
8.685908;72.93254
8.694669;70.12048
8.703429;45.74148
8.712189;31.2663
8.72095;29.68192
8.72971;29.44454
8.73847;29.18756
8.747231;29.54418
8.755991;29.18925
8.764752;29.52125
8.773512;29.5153
8.782272;29.15014
8.791033;29.92155
8.799793;35.42093
8.808553;57.6078
8.817314;70.86813
8.826074;67.95025
8.834835;43.45008
8.843595;30.6564
8.852355;29.44342
8.861116;28.7359
8.869876;28.67522
8.878636;28.85944
8.887397;28.16395
8.896157;28.65821
8.904918;28.79814
8.913678;28.482
8.922438;30.24812
8.931199;36.21472
8.939959;52.40133
8.948719;58.22783
8.95748;0
8.96624;0
