# E          s-dos       p-dos       d-dos       f-dos
-1.7300e+01  3.3159e-01  7.9306e-01  3.0541e-01  2.0994e-02
-1.7200e+01  3.1724e-01  1.0628e+00  5.5360e-01  2.8662e-02
-1.7100e+01  3.1114e-01  1.5929e+00  1.3991e+00  5.3893e-02
-1.7000e+01  2.7469e-01  2.3719e+00  2.2946e+00  9.0468e-02
-1.6900e+01  2.2755e-01  2.9369e+00  2.5943e+00  1.2600e-01
-1.6800e+01  1.4933e-01  4.0309e+00  2.4445e+00  1.8773e-01
-1.6700e+01  8.9647e-02  4.2156e+00  1.7187e+00  2.0450e-01
-1.6600e+01  3.6116e-02  3.1782e+00  1.0997e+00  1.5580e-01
-1.6500e+01  1.1487e-02  1.2947e+00  3.1326e-01  6.2240e-02
-1.6400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.6300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.6200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.6100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.6000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.5000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.4000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
